event_id,attempt_order,source_type,source_url,attempted_utc,http_status,content_bytes,result,evidence_note
JP_1887_20240115,1,IRBank,https://irbank.net/1887/140120240115515111,2026-08-13T18:30:14Z,403,0,blocked,Automated source validation denied; no evasion or mass-copy attempted
JP_2173_20231212,1,IRBank,https://irbank.net/E05737/091220231211501221,2026-08-13T18:30:14Z,403,0,blocked,Automated source validation denied; no evasion or mass-copy attempted
JP_2294_20231212,1,IRBank,https://irbank.net/2294/140120231211501703,2026-08-13T18:30:14Z,403,0,blocked,Automated source validation denied; no evasion or mass-copy attempted
JP_3657_20231212,1,IRBank,https://irbank.net/3657/ir,2026-08-13T18:30:14Z,403,0,blocked,Automated source validation denied; no evasion or mass-copy attempted
JP_7347_20231212,1,IRBank,https://irbank.net/7347/140120231211501232,2026-08-13T18:30:14Z,403,0,blocked,Automated source validation denied; no evasion or mass-copy attempted
JP_7494_20231212,1,IRBank,https://irbank.net/7494/140120231209500019,2026-08-13T18:30:14Z,403,0,blocked,Automated source validation denied; no evasion or mass-copy attempted
JP_7561_20231212,1,IRBank,https://irbank.net/7561,2026-08-13T18:30:14Z,403,0,blocked,Automated source validation denied; no evasion or mass-copy attempted
JP_7829_20231212,1,IRBank,https://irbank.net/7829,2026-08-13T18:30:14Z,403,0,blocked,Automated source validation denied; no evasion or mass-copy attempted
JP_Y1023659,1,issuer_or_tdnet_pdf,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120240711548061.pdf,2026-08-13T18:30:14Z,404,225,dead,final_url=https://www.release.tdnet.info/inbs/140120240711548061.pdf; required status=200 and bytes>500
JP_Y1023659,2,J-Quants_or_official_statement_data,,,,0,not_configured,No J-Quants entitlement or credential was supplied
JP_Y1023659,3,IRBank,https://irbank.net/4250/ir,,403,0,blocked_after_probe,Site rejected validation probe; no automated circumvention or bulk copying
JP_Y1023659,4,Wayback_or_other_archive,,,,0,not_attempted,Deferred after primary/mirror access blockers; failure retained
JP_Y1024273,1,issuer_or_tdnet_pdf,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120240716549358.pdf,2026-08-13T18:30:20Z,404,225,dead,final_url=https://www.release.tdnet.info/inbs/140120240716549358.pdf; required status=200 and bytes>500
JP_Y1024273,2,J-Quants_or_official_statement_data,,,,0,not_configured,No J-Quants entitlement or credential was supplied
JP_Y1024273,3,IRBank,https://irbank.net/7172/ir,,403,0,blocked_after_probe,Site rejected validation probe; no automated circumvention or bulk copying
JP_Y1024273,4,Wayback_or_other_archive,,,,0,not_attempted,Deferred after primary/mirror access blockers; failure retained
JP_Y1024520,1,issuer_or_tdnet_pdf,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120240718551130.pdf,2026-08-13T18:30:25Z,404,225,dead,final_url=https://www.release.tdnet.info/inbs/140120240718551130.pdf; required status=200 and bytes>500
JP_Y1024520,2,J-Quants_or_official_statement_data,,,,0,not_configured,No J-Quants entitlement or credential was supplied
JP_Y1024520,3,IRBank,https://irbank.net/4849/ir,,403,0,blocked_after_probe,Site rejected validation probe; no automated circumvention or bulk copying
JP_Y1024520,4,Wayback_or_other_archive,,,,0,not_attempted,Deferred after primary/mirror access blockers; failure retained
