event_id,security_code,issuer,fiscal_period,publication_timestamp_jst,title_jp,old_revenue,new_revenue,old_operating_profit,new_operating_profit,old_ordinary_profit,new_ordinary_profit,old_net_income,new_net_income,revenue_change_pct,operating_change_pct,ordinary_change_pct,net_change_pct,direction,recovery_status,source_type,evidence_url,failure_reason,period_length,consolidation_scope,fiscal_year_change,units,market_segment_at_event,jp_document_timestamp,english_document_status,english_timestamp,english_lag_minutes,prior_bilingual_behavior,foreign_ownership_pct,treatment_status,sample_seed,sample_locked,seed_fixture,seed_validation_status,yanoshin_id,yanoshin_document_url
JP_1887_20240115,1887,Japan National Land Development,,2024-01-15 17:00,業績予想の修正 (supplied fixed seed),149000,139000,6500,-5600,6500,-5700,4600,-3800,-0.06711409,-1.86153846,-1.87692308,-1.82608696,downward,recovered_provisional,IRBank,https://irbank.net/1887/140120240115515111,IRBank rejected automated validation with HTTP 403; supplied values retained as provisional fixtures,,,,,,,,,,,,incomplete,20260813,True,True,blocked_http_403_flagged_not_silently_corrected,,
JP_2173_20231212,2173,Hakuten,,2023-12-12 15:00,業績予想の修正 (supplied fixed seed),11000,12900,400,690,370,695,250,390,0.17272727,0.72500000,0.87837838,0.56000000,upward,recovered_provisional,IRBank,https://irbank.net/E05737/091220231211501221,IRBank rejected automated validation with HTTP 403; supplied values retained as provisional fixtures,,,,,,,,,,,,incomplete,20260813,True,True,blocked_http_403_flagged_not_silently_corrected,,
JP_2294_20231212,2294,Kakiyasu Honten,,2023-12-12 15:30,業績予想の修正 (supplied fixed seed),38700,37000,3050,2400,3050,2400,1900,1500,-0.04392765,-0.21311475,-0.21311475,-0.21052632,downward,recovered_provisional,IRBank,https://irbank.net/2294/140120231211501703,IRBank rejected automated validation with HTTP 403; supplied values retained as provisional fixtures,,,,,,,,,,,,incomplete,20260813,True,True,blocked_http_403_flagged_not_silently_corrected,,
JP_3657_20231212,3657,Pole To Win Holdings,,2023-12-12 15:30,業績予想の修正 (supplied fixed seed),47113,46217,1744,644,1776,788,440,-514,-0.01901811,-0.63073394,-0.55630631,-2.16818182,downward,recovered_provisional,IRBank,https://irbank.net/3657/ir,IRBank rejected automated validation with HTTP 403; supplied values retained as provisional fixtures,,,,,,,,,,,,incomplete,20260813,True,True,blocked_http_403_flagged_not_silently_corrected,,
JP_7347_20231212,7347,Mercuria Holdings,,2023-12-12 15:00,業績予想の修正 (supplied fixed seed),6700,5800,2450,1000,2450,1200,1700,800,-0.13432836,-0.59183673,-0.51020408,-0.52941176,downward,recovered_provisional,IRBank,https://irbank.net/7347/140120231211501232,IRBank rejected automated validation with HTTP 403; supplied values retained as provisional fixtures,,,,,,,,,,,,incomplete,20260813,True,True,blocked_http_403_flagged_not_silently_corrected,,
JP_7494_20231212,7494,Konaka,,2023-12-12 15:00,業績予想の修正 (supplied fixed seed),71194,70015,1414,683,1593,887,777,85,-0.01656038,-0.51697313,-0.44318895,-0.89060489,downward,recovered_provisional,IRBank,https://irbank.net/7494/140120231209500019,IRBank rejected automated validation with HTTP 403; supplied values retained as provisional fixtures,,,,,,,,,,,,incomplete,20260813,True,True,blocked_http_403_flagged_not_silently_corrected,,
JP_7561_20231212,7561,HURXLEY,,2023-12-12 15:00,業績予想の修正 (supplied fixed seed),44500,47335,1650,2259,1750,2561,1400,2038,0.06370787,0.36909091,0.46342857,0.45571429,upward,recovered_provisional,IRBank,https://irbank.net/7561,IRBank rejected automated validation with HTTP 403; supplied values retained as provisional fixtures,,,,,,,,,,,,incomplete,20260813,True,True,blocked_http_403_flagged_not_silently_corrected,,
JP_7829_20231212,7829,Samantha Thavasa Japan,,2023-12-12 15:00,業績予想の修正 (supplied fixed seed),26119,23640,430,-1050,241,-1225,326,-1140,-0.09491175,-3.44186047,-6.08298755,-4.49693252,downward,recovered_provisional,IRBank,https://irbank.net/7829,IRBank rejected automated validation with HTTP 403; supplied values retained as provisional fixtures,,,,,,,,,,,,incomplete,20260813,True,True,blocked_http_403_flagged_not_silently_corrected,,
JP_Y1023659,4250,Ｑ－フロンティア,,2024-07-12 15:30:00,2024年11月期第２四半期連結業績予想と実績値との差異および通期業績予想の修正に関するお知らせ,,,,,,,,,,,,,,failed,,,official=dead; J-Quants unavailable; IRBank 403; archival recovery deferred,,,,,,,,,,,,not_attempted_no_clean_numeric_recovery,20260813,True,False,not_applicable,1023659,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120240711548061.pdf
JP_Y1024273,7172,ＪＩＡ,,2024-07-17 15:00:00,2024年12月期第２四半期（累計）連結業績予想の修正および通期連結業績予想の修正に関するお知らせ　,,,,,,,,,,,,,,failed,,,official=dead; J-Quants unavailable; IRBank 403; archival recovery deferred,,,,,,,,,,,,not_attempted_no_clean_numeric_recovery,20260813,True,False,not_applicable,1024273,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120240716549358.pdf
