pair_id,period_end,quarter,left_row_id,right_row_id,left_ticker,right_ticker,left_cik,right_cik,left_adsh,right_adsh,left_accepted,right_accepted,left_identifier,right_identifier,left_borrower_norm,right_borrower_norm,left_debt_equity,right_debt_equity,left_facility_type,right_facility_type,left_lien,right_lien,left_currency,right_currency,left_reference_rate,right_reference_rate,left_spread,right_spread,spread_diff,left_maturity,right_maturity,maturity_diff_days,left_funded_status,right_funded_status,left_acquisition_date,right_acquisition_date,borrower_exact,debt_equity_match,facility_type_match,lien_match,currency_match,reference_rate_match,spread_match_25bp,maturity_match_45d,funded_status_match,hard_conflicts,informative_matches,predicted_label,match_confidence,evidence,sample_seed,sample_locked,manual_label,label_notes,adjudicator
007495a606d54a3c9f6db219,2025-09-30,2025Q3,0b46efb37ca5667740cbf17f,a1c44676c1b6e33efa335f8a,ARCC,ASIF,1287750,1918712,0001287750-25-000046,0001918712-25-000092,2025-10-27 20:48:00.0,2025-11-14 16:22:00.0,"Lightbeam Bidco, Inc., First lien senior secured loan 2","Lightbeam Bidco, Inc., First lien senior secured loan",lightbeam bidco,lightbeam bidco,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0500,0.0500,0.00000000,,,,funded,funded,,,True,True,True,True,,,True,,True,,5,same_facility,high,debt_equity_match|facility_type_match|lien_match|spread_match_25bp|funded_status_match,20260813,True,same_facility,manual confirmation after identifier/evidence review,Codex manual review 2026-08-13
02229e3ac3b0131ed88284fe,2025-06-30,2025Q2,bbada23083674702d4418a90,ddbbd6e7b078f0c6cb705555,NMFC,OBDC,1496099,1655888,0001496099-25-000027,0001655888-25-000020,2025-08-04 16:49:00.0,2025-08-06 16:06:00.0,"Coupa Holdings, LLC, First lien","Coupa Holdings, LLC, First lien senior secured loan",coupa,coupa,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0525,0.0525,0.00000000,,,,funded,funded,,,True,True,True,True,,,True,,True,,5,same_facility,high,debt_equity_match|facility_type_match|lien_match|spread_match_25bp|funded_status_match,20260813,True,same_facility,manual confirmation after identifier/evidence review,Codex manual review 2026-08-13
026b75a6c6c37010629a652e,2025-09-30,2025Q3,6a012cc124ae31234347e24e,fdba8fc784ed8ca8bea655e2,HPS,BXSL,1838126,1736035,0001838126-25-000073,0001736035-25-000021,2025-11-14 13:58:00.0,2025-11-10 06:10:00.0,"Auditboard, Inc. 1","AuditBoard, Inc.",auditboard,auditboard,unknown,unknown,unknown,unknown,unknown,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,0.0450,,,,,funded,funded,,,True,,,,,,,,True,,1,uncertain,low,funded_status_match,20260813,True,uncertain,manual confirmation after identifier/evidence review,Codex manual review 2026-08-13
03e683622513f34338d36ad7,2025-06-30,2025Q2,95ada162b34587035ff84f6e,a2ab35fe4587fc2deb8d931f,BXSL,HPS,1736035,1838126,0001736035-25-000018,0001838126-25-000055,2025-08-06 06:10:00.0,2025-08-13 17:03:00.0,"Elements Finco, Ltd. 1",Elements Finco Limited 5,elements finco,elements finco,unknown,unknown,unknown,unknown,unknown,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0500,0.0525,0.00250000,,,,funded,funded,,,True,,,,,,True,,True,,2,uncertain,low,spread_match_25bp|funded_status_match,20260813,True,uncertain,manual confirmation after identifier/evidence review,Codex manual review 2026-08-13
05ffd0e863a0ae9f5917a6d7,2025-06-30,2025Q2,783cadded24ef9506dad0bf7,e03f6f0b492a95f317549d0b,OCIC,OBDC,1812554,1655888,0001812554-25-000052,0001655888-25-000020,2025-08-07 16:12:00.0,2025-08-06 16:06:00.0,"THG Acquisition, LLC (dba Hilb), First lien senior secured loan","THG Acquisition, LLC (dba Hilb), First lien senior secured revolving loan",thg acquisition dba hilb,thg acquisition dba hilb,debt,debt,other_debt,revolver,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0450,0.0475,0.00250000,,,,funded,funded,,,True,True,False,True,,,False,,True,facility_type,3,same_borrower_different_facility,high,debt_equity_match|lien_match|funded_status_match|conflict:facility_type,20260813,True,same_borrower_different_facility,manual confirmation after identifier/evidence review,Codex manual review 2026-08-13
0669389e6df215ddbab9f921,2025-06-30,2025Q2,9500eabf0cb5cc72e1e9db27,9a1a405e32e0c9648d411f77,ARCC,ASIF,1287750,1918712,0001287750-25-000038,0001918712-25-000065,2025-07-28 21:23:00.0,2025-08-08 16:14:00.0,"Shermco Intermediate Holdings, Inc., First lien senior secured loan 4","Shermco Intermediate Holdings, Inc., First lien senior secured revolving loan",shermco intermediate,shermco intermediate,debt,debt,other_debt,revolver,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0500,0.0500,0.00000000,,,,funded,funded,,,True,True,False,True,,,True,,True,facility_type,4,same_borrower_different_facility,high,debt_equity_match|lien_match|spread_match_25bp|funded_status_match|conflict:facility_type,20260813,True,same_borrower_different_facility,manual confirmation after identifier/evidence review,Codex manual review 2026-08-13
076a00384bfd365a282a0f17,2025-06-30,2025Q2,152ae7f9497ef299a8fe2007,2fcf6c9c988174fc85787962,BCRED,NMFC,1803498,1496099,0001803498-25-000062,0001496099-25-000027,2025-08-12 16:30:00.0,2025-08-04 16:49:00.0,"ACI Group Holdings, Inc. 2","ACI Group Holdings, Inc., First lien 2",aci,aci,unknown,debt,unknown,other_debt,unknown,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0600,0.0275,0.03250000,,,,funded,funded,,,True,,,,,,False,,True,spread_gt_100bp,1,unrelated,high,funded_status_match|conflict:spread_gt_100bp,20260813,True,same_borrower_different_facility,manual override after identifier/evidence review; insufficient exact-facility evidence,Codex manual review 2026-08-13
0b4849e310c3ebc5dfe69d5c,2025-06-30,2025Q2,01f8159d0cb40bd36cb43856,98f6fdba86dbaccb6efba287,OBDC,OCIC,1655888,1812554,0001655888-25-000020,0001812554-25-000052,2025-08-06 16:06:00.0,2025-08-07 16:12:00.0,"Indikami Bidco, LLC (dba IntegriChain), First lien senior secured revolving loan","Indikami Bidco, LLC (dba IntegriChain), First lien senior secured loan",indikami bidco dba integrichain,indikami bidco dba integrichain,debt,debt,revolver,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0600,0.0400,0.02000000,,,,funded,funded,,,True,True,False,True,,,False,,True,facility_type|spread_gt_100bp,3,same_borrower_different_facility,high,debt_equity_match|lien_match|funded_status_match|conflict:facility_type|conflict:spread_gt_100bp,20260813,True,same_borrower_different_facility,manual confirmation after identifier/evidence review,Codex manual review 2026-08-13
0b85dc8c91baad6c11b1718e,2025-09-30,2025Q3,c9ac10df32f1c0c89dc55610,f83acde0fc99670fbf681211,ASIF,ARCC,1918712,1287750,0001918712-25-000092,0001287750-25-000046,2025-11-14 16:22:00.0,2025-10-27 20:48:00.0,"Aldinger Company Inc, First lien senior secured loan","Aldinger Company Inc, First lien senior secured revolving loan",aldinger,aldinger,debt,debt,other_debt,revolver,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0525,0.0525,0.00000000,,,,funded,funded,,,True,True,False,True,,,True,,True,facility_type,4,same_borrower_different_facility,high,debt_equity_match|lien_match|spread_match_25bp|funded_status_match|conflict:facility_type,20260813,True,same_borrower_different_facility,manual confirmation after identifier/evidence review,Codex manual review 2026-08-13
0be880c77aab079e3b4f0b4b,2025-09-30,2025Q3,00614f1212f23b07c3817e0d,8e3d4ef23257fbbf7d8c4f32,BXSL,BCRED,1736035,1803498,0001736035-25-000021,0001803498-25-000081,2025-11-10 06:10:00.0,2025-11-13 16:37:00.0,"Sam Holding Co, Inc. 2","Sam Holding Co, Inc. 3",sam,sam,unknown,unknown,unknown,unknown,unknown,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0525,0.0550,0.00250000,,,,funded,funded,,,True,,,,,,False,,True,,1,unrelated,high,funded_status_match,20260813,True,uncertain,manual override after identifier/evidence review; insufficient exact-facility evidence,Codex manual review 2026-08-13
