observation_id,period_end,borrower_norm,source_ticker,target_ticker,reporting_window_hours,reporting_window_bucket,target_actual_mark,b0_unchanged_target_prior,b1_target_momentum,b2_already_filed_exact_coholder_median,b3_earliest_exact_coholder,b4_prior_quarter_cross_lender_median,b5_distress_flags_only,entry_price_bias_adjusted_source,b0_abs_error_pp,b1_abs_error_pp,b2_abs_error_pp,b3_abs_error_pp,b4_abs_error_pp,entry_adjusted_abs_error_pp,target_pik_transition,target_nonaccrual_transition,target_restructuring_transition,target_position_disappeared,same_manager_or_jv,common_appraiser,contaminated_fixture,freeze_commit
SN_0ea81960e0d0ec4e7edc6015d9cf,2025-09-30,pye barker fire and safety,ARCC,OBDC,217.1022,>3d,0.9974998206,0.9974976006,,1.0000000000,1.0000000000,1.0000000000,pik=False;nonaccrual=False;restructuring=False,0.9974976006,0.00022199866934746737,,0.25001793726923127,0.25001793726923127,0.25001793726923127,0.00022199866934746737,False,False,False,False,not_observable_in_flat_file,not_observable_in_flat_file,False,a495f39
SN_20f87564c76eba6de15122b0d3c9,2025-09-30,hyland software,ARCC,OBDC,217.1022,>3d,1.0000000000,1.0000000000,,1.0000000000,1.0000000000,1.0000000000,pik=False;nonaccrual=False;restructuring=False,1.0000000000,0.0,,0.0,0.0,0.0,0.0,False,False,False,False,not_observable_in_flat_file,not_observable_in_flat_file,False,a495f39
SN_2bb23c574e6c0aa1c0c638f896bd,2025-09-30,fortis solutions,NMFC,OBDC,47.9464,1-3d,0.9799954535,0.9799903636,,1.0000000000,1.0000000000,1.0000000000,pik=False;nonaccrual=False;restructuring=False,0.9799903636,0.0005089880951381076,,2.0004546487838115,2.0004546487838115,2.0004546487838115,0.0005089880951381076,False,False,False,False,not_observable_in_flat_file,not_observable_in_flat_file,False,a495f39
SN_3038d25aa68ce91b0f5482cba93b,2025-09-30,mri software,ARCC,NMFC,169.1558,>3d,1.0000000000,1.0000000000,,1.0000000000,1.0000000000,1.0000000000,pik=False;nonaccrual=False;restructuring=False,1.0000000000,0.0,,0.0,0.0,0.0,0.0,False,False,False,False,not_observable_in_flat_file,not_observable_in_flat_file,False,a495f39
SN_4753ff4bf81dd68eaa4fedf7cf6d,2025-09-30,mri software,ARCC,NMFC,169.1558,>3d,1.0000000000,1.0000000000,,1.0000000000,1.0000000000,1.0000000000,pik=False;nonaccrual=False;restructuring=False,1.0000000000,0.0,,0.0,0.0,0.0,0.0,False,False,False,False,not_observable_in_flat_file,not_observable_in_flat_file,False,a495f39
SN_51ed5f084dcb1ea92166479a5308,2025-09-30,viant medical,ARCC,NMFC,169.1558,>3d,1.0022026432,0.9931672026,,1.0000000000,1.0000000000,1.0000000000,pik=False;nonaccrual=False;restructuring=False,0.9931672026,0.9035440599458822,,0.22026431718060735,0.22026431718060735,0.22026431718060735,0.9035440599458822,False,False,False,False,not_observable_in_flat_file,not_observable_in_flat_file,False,a495f39
SN_67fe3cd270c61ca8e3a6fbedaa90,2025-09-30,petvet care centers,NMFC,OBDC,47.9464,1-3d,0.9249961931,0.9450005316,,0.9180974951,0.9565015037,0.9449985584,pik=False;nonaccrual=False;restructuring=False,0.9259994105,2.000433852931527,,0.6898697965763367,3.1505310565080213,2.000236533488886,0.10032174622607304,False,False,False,False,not_observable_in_flat_file,not_observable_in_flat_file,False,a495f39
SN_801a4f892c9d17c81f65138791ba,2025-09-30,mri software,ARCC,NMFC,169.1558,>3d,1.0000000000,1.0000000000,,1.0000000000,1.0000000000,1.0000000000,pik=False;nonaccrual=False;restructuring=False,1.0000000000,0.0,,0.0,0.0,0.0,0.0,False,False,False,False,not_observable_in_flat_file,not_observable_in_flat_file,False,a495f39
SN_9da5909e318d86603bc422917d01,2025-09-30,mri software,ARCC,NMFC,169.1558,>3d,1.0000000000,1.0000000000,,1.0000000000,1.0000000000,1.0000000000,pik=False;nonaccrual=False;restructuring=False,1.0000000000,0.0,,0.0,0.0,0.0,0.0,False,False,False,False,not_observable_in_flat_file,not_observable_in_flat_file,False,a495f39
SN_a3e3f3aa800a65d67147e50a91df,2025-09-30,ping identity,ARCC,OBDC,217.1022,>3d,1.0000000000,1.0000000000,,1.0000000000,1.0000000000,1.0000000000,pik=False;nonaccrual=False;restructuring=False,1.0000000000,0.0,,0.0,0.0,0.0,0.0,False,False,False,False,not_observable_in_flat_file,not_observable_in_flat_file,False,a495f39
