ticker,cik,listed_status,report_period_end,report_period_label,aggregated_facilities,current_period_facilities,pct_non_missing_borrower,pct_non_missing_debt_equity,pct_non_missing_facility_type,pct_non_missing_lien,pct_non_missing_currency,pct_non_missing_reference_rate,pct_non_missing_spread,pct_non_missing_maturity,pct_non_missing_funded_status,pct_non_missing_principal,pct_non_missing_fair_value,facilities_entering_borrower_candidate_blocks,facility_pairs_involving_fund,pairs_passing_informative_ge3,internal_predicted_same_facility_high,source_facilities_with_prior_match,target_prior_matches,verified_reporting_order_available,source_before_target_opportunities,eligible_pre_reveal_observations,movement_eligible_observations,first_loss_stage,dominant_exclusion_reason
ARCC,1287750,listed,2023-12-31,2023Q4,2240,1190,100.0,86.218,86.218,68.067,0.0,0.0,61.849,0.0,100.0,67.899,100.0,197,534,355,160,0,0,True,9,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
ASIF,1918712,non-listed,2023-12-31,2023Q4,461,341,100.0,95.894,95.894,86.217,0.0,0.0,88.563,0.0,100.0,90.323,100.0,230,538,330,159,0,0,True,0,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
BBDC,1379785,listed,2023-12-31,2023Q4,1787,920,100.0,57.065,57.717,41.63,0.0,0.0,43.587,0.0,100.0,84.457,100.0,28,64,2,0,0,0,True,5,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
BCRED,1803498,non-listed,2023-12-31,2023Q4,2646,1309,100.0,2.75,2.75,0.0,0.0,0.076,94.652,0.0,100.0,94.652,100.0,478,1369,15,0,0,0,True,0,0,0,B_weak_XBRL_tagging,B_weak_XBRL_tagging
BXSL,1736035,listed,2023-12-31,2023Q4,591,340,100.0,4.412,4.412,0.0,0.0,0.0,87.941,0.0,100.0,87.941,100.0,329,930,15,0,0,0,True,1,0,0,B_weak_XBRL_tagging,B_weak_XBRL_tagging
CGBD,1544206,listed,2023-12-31,2023Q4,528,262,100.0,98.092,98.092,84.351,0.0,0.0,83.969,0.0,100.0,84.351,100.0,3,4,2,0,0,0,True,2,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
FSK,1422183,listed,2023-12-31,2023Q4,902,459,100.0,27.887,28.54,0.436,0.0,0.436,66.231,0.0,100.0,76.035,100.0,0,0,0,0,0,0,True,3,0,0,B_weak_XBRL_tagging,B_weak_XBRL_tagging
GBDC,1476765,listed,2023-12-31,2023Q4,2931,1508,100.0,22.546,22.546,13.66,0.0,0.0,81.764,0.0,100.0,83.09,100.0,37,207,92,1,0,0,True,10,0,0,B_weak_XBRL_tagging,B_weak_XBRL_tagging
GSBD,1572694,listed,2023-12-31,2023Q4,742,385,98.701,98.701,98.701,92.987,0.0,0.0,87.273,91.169,100.0,91.169,99.221,7,15,2,0,0,0,True,0,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
HPS,1838126,non-listed,2023-12-31,2023Q4,794,448,100.0,2.679,2.679,0.67,0.0,0.0,76.786,0.0,100.0,97.098,100.0,193,787,0,0,0,0,True,0,0,0,B_weak_XBRL_tagging,B_weak_XBRL_tagging
HTGC,1280784,listed,2023-12-31,2023Q4,828,411,100.0,95.864,95.864,33.577,0.0,32.117,30.9,0.0,100.0,36.01,100.0,4,12,2,0,0,0,True,6,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
MAIN,1396440,listed,2023-12-31,2023Q4,1078,565,100.0,85.841,87.257,60.708,0.0,0.531,41.239,0.0,100.0,60.531,100.0,26,55,6,0,0,0,True,5,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
MFIC,1278752,listed,2023-12-31,2023Q4,1042,548,99.818,67.153,67.883,53.102,0.0,43.431,44.891,48.175,100.0,48.175,99.27,1,5,0,0,0,0,True,4,0,0,G_limited_19_fund_universe,G_limited_19_fund_universe
