observation_id,report_period_end,report_period_label,borrower_norm,source_ticker,source_cik,source_listed_status,target_ticker,target_cik,source_facility_id,source_prior_facility_id,target_prior_facility_id,source_results_timestamp_utc,source_mark_public_timestamp_utc,source_information_timestamp_utc,source_mark_public_evidence,target_prior_public_timestamp_utc,target_cutoff_timestamp_utc,reporting_window_days,source_current_mark,source_prior_mark,source_delta_mark,source_delta_pp,movement_eligible,development_borrower_excluded,target_current_outcome_used_for_eligibility,outcomes_revealed,unit_of_analysis
SN3X_0145584e3a2c2cfb6cf0b6e3085f,2025-09-30,2025Q3,forescout technologies,ARCC,1287750,listed,OBDC,1655888,EF_8a1a818533b526a127b45a5d0aab,EF_a95b14fe62c781b6919e80d35e5b,EF_927b07f2937f402622c40888afa3,2025-10-27T20:29:59Z,2025-10-27T20:48:00Z,2025-10-27T20:48:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2025-08-06T20:05:51Z,2025-11-05T21:36:07Z,9.033414,0.9851851852,0.9925925926,-0.0074074074,-0.740741,True,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_038f9e94f828047057d841d97572,2024-06-30,2024Q2,dealer tire financial,NMFC,1496099,listed,OBDC,1655888,EF_ae1a9494e60ea0b3b5527d1c2b37,EF_c17e782c2f272166bf5bb386b749,EF_7421e4b2ca5637d25e45da85633b,2024-07-31T21:02:57Z,2024-07-31T17:12:00Z,2024-07-31T21:02:57Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-05-08T20:11:16Z,2024-08-07T20:16:31Z,6.967755,1.0004175365,1.0087401301,-0.0083225936,-0.832259,True,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_03ddd5de7324b5365435229bd826,2024-03-31,2024Q1,imprivata,ARCC,1287750,listed,OBDC,1655888,EF_6b909f7b0ba66cae21855b860e95,EF_54d8947ad25cd5643e2e0d7e6e06,EF_1d9ba73fafd7e4b7461dac86ac1d,2024-04-30T21:30:34Z,2024-04-30T21:41:00Z,2024-04-30T21:41:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-02-21T21:56:10Z,2024-05-08T20:11:16Z,7.937685,1.0000000000,0.9813664596,0.0186335404,1.863354,True,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_0416322073597c8c9f655de911a1,2024-06-30,2024Q2,pluralsight,ARCC,1287750,listed,OBDC,1655888,EF_506abf28d45ce5769a5d2d69c6bf,EF_6620e4c9a6ecddfcb0ede84b1a40,EF_b21fdb2bc75708fe3d7b79427351,2024-07-29T20:56:19Z,2024-07-29T21:10:00Z,2024-07-29T21:10:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-05-08T20:11:16Z,2024-08-07T20:16:31Z,8.962859,0.3333333333,1.0000000000,-0.6666666667,-66.666667,True,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_0433270103e7b58142eabf353d55,2024-06-30,2024Q2,confluent health,NMFC,1496099,listed,OBDC,1655888,EF_4261e400c37d0cb38157b31b0766,EF_89ecff60e335ca0d836aa63c46e0,EF_ad698926c251197f7aada6584c7f,2024-07-31T21:02:57Z,2024-07-31T17:12:00Z,2024-07-31T21:02:57Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-05-08T20:11:16Z,2024-08-07T20:16:31Z,6.967755,0.9749815589,0.9900674433,-0.0150858844,-1.508588,True,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_0563aace057de361018740d3c181,2024-09-30,2024Q3,acrisure,ARCC,1287750,listed,OBDC,1655888,EF_9a08ce365cc34dfdc950a5684672,EF_2ff51d69c5757517ca52d46250c2,EF_8a48f911247b87144ca22e87e114,2024-10-29T20:49:55Z,2024-10-29T20:56:00Z,2024-10-29T20:56:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-08-07T20:16:31Z,2024-11-06T21:06:55Z,8.007581,1.0000000000,1.0000000000,0.0000000000,0.000000,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_061e5cded43d1cf91ffccfdb92ca,2024-06-30,2024Q2,dealer tire financial,NMFC,1496099,listed,OBDC,1655888,EF_4a78c7ea636f3e530def94a56a74,EF_c17e782c2f272166bf5bb386b749,EF_7421e4b2ca5637d25e45da85633b,2024-07-31T21:02:57Z,2024-07-31T17:12:00Z,2024-07-31T21:02:57Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-05-08T20:11:16Z,2024-08-07T20:16:31Z,6.967755,1.0003806986,1.0087401301,-0.0083594315,-0.835943,True,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_08a61efce1e4cee4934db042a78e,2025-06-30,2025Q2,forescout technologies,ARCC,1287750,listed,OBDC,1655888,EF_a95b14fe62c781b6919e80d35e5b,EF_53be37d90ed8226dfc4f546e46f1,EF_581e69ebf7e43b2969e3dbbfe7d3,2025-07-28T21:11:20Z,2025-07-28T21:23:00Z,2025-07-28T21:23:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2025-05-07T20:15:44Z,2025-08-06T20:05:51Z,8.946424,0.9925925926,1.0000000000,-0.0074074074,-0.740741,True,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_0b81e70d495efc34eec12dee8d10,2024-06-30,2024Q2,community brands parentco,ARCC,1287750,listed,NMFC,1496099,EF_9a2d50ecf7ac16f2c0f378e32e13,EF_2ce55e5efa4d0561df99c2b9b09a,EF_acf23b0f04fd6d08a616503e23c8,2024-07-29T20:56:19Z,2024-07-29T21:10:00Z,2024-07-29T21:10:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-05-01T21:02:05Z,2024-07-31T21:02:57Z,1.995104,1.0000000000,0.9904761905,0.0095238095,0.952381,True,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_0b8ac96417994d40eccea3ab63cb,2025-09-30,2025Q3,physician partners,NMFC,1496099,listed,OBDC,1655888,EF_5fafce268f1b4da312851a3e4413,EF_a1a753b5c878e9b4539452a4dfff,EF_e833bfdd0ba6e0ce712ed59b9272,2025-11-03T21:39:20Z,2025-11-03T16:44:00Z,2025-11-03T21:39:20Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2025-08-06T20:05:51Z,2025-11-05T21:36:07Z,1.997766,0.8313282002,0.8855016803,-0.0541734801,-5.417348,True,False,False,False,source BDC x report period x borrower x economic_facility_v2
