report_period_end,report_period_label,ticker,cik,periodic_fallback_form,periodic_fallback_accession,periodic_fallback_timestamp_utc,eight_k_candidates_checked,ex99_exhibits_checked,soi_present_in_8k,soi_evidence,exact_facility_mark_present_in_8k,exact_facility_ids,source_mark_public_timestamp_utc,source_mark_public_evidence,target_results_public_timestamp_utc,target_results_public_evidence,target_cutoff_shifted_earlier,source_mark_timestamp_shifted_earlier,target_and_source_timestamps_differ,audit_status
2023-12-31,2023Q4,ASIF,1918712,10-K,0001918712-24-000048,2024-03-14T20:20:10Z,5,0,False,,False,,2024-03-14T20:20:10Z,SOI/periodic acceptance 0001918712-24-000048,2024-03-14T20:20:10Z,periodic fallback 0001918712-24-000048,False,False,False,complete
2023-12-31,2023Q4,BCRED,1803498,10-K,0001803498-24-000007,2024-03-15T20:48:15Z,5,0,False,,False,,2024-03-15T20:48:15Z,SOI/periodic acceptance 0001803498-24-000007,2024-03-15T20:48:15Z,periodic fallback 0001803498-24-000007,False,False,False,complete
2023-12-31,2023Q4,BXSL,1736035,10-K,0001736035-24-000006,2024-02-28T11:46:55Z,0,0,False,,False,,2024-02-28T11:46:55Z,SOI/periodic acceptance 0001736035-24-000006,2024-02-28T11:46:55Z,periodic fallback 0001736035-24-000006,False,False,False,complete
2023-12-31,2023Q4,GSBD,1572694,10-K,0000950170-24-022198,2024-02-28T21:51:23Z,1,1,False,,False,,2024-02-28T21:51:23Z,SOI/periodic acceptance 0000950170-24-022198,2024-02-28T21:51:23Z,periodic fallback 0000950170-24-022198,False,False,False,complete
2023-12-31,2023Q4,HPS,1838126,10-K,0001838126-24-000022,2024-03-21T21:27:34Z,6,0,False,,False,,2024-03-21T21:27:34Z,SOI/periodic acceptance 0001838126-24-000022,2024-03-21T21:27:34Z,periodic fallback 0001838126-24-000022,False,False,False,complete
2023-12-31,2023Q4,HTGC,1280784,10-K,0001280784-24-000007,2024-02-15T21:17:43Z,0,0,False,,False,,2024-02-15T21:17:43Z,SOI/periodic acceptance 0001280784-24-000007,2024-02-15T21:17:43Z,periodic fallback 0001280784-24-000007,False,False,False,complete
2023-12-31,2023Q4,MFIC,1278752,10-K,0000950170-24-020118,2024-02-26T21:03:00Z,0,0,False,,False,,2024-02-26T21:03:00Z,SOI/periodic acceptance 0000950170-24-020118,2024-02-26T21:03:00Z,periodic fallback 0000950170-24-020118,False,False,False,complete
2023-12-31,2023Q4,OBDC,1655888,10-K,0001655888-24-000008,2024-02-21T21:56:10Z,4,1,False,,False,,2024-02-21T21:56:10Z,SOI/periodic acceptance 0001655888-24-000008,2024-02-21T21:56:10Z,periodic fallback 0001655888-24-000008,False,False,False,complete
2023-12-31,2023Q4,OCIC,1812554,10-K,0001812554-24-000014,2024-03-06T23:11:46Z,5,0,False,,False,,2024-03-06T23:11:46Z,SOI/periodic acceptance 0001812554-24-000014,2024-03-06T23:11:46Z,periodic fallback 0001812554-24-000014,False,False,False,complete
2023-12-31,2023Q4,OCSL,1414932,10-Q,0001414932-24-000004,2024-01-31T22:57:51Z,0,0,False,,False,,2024-01-31T22:57:51Z,SOI/periodic acceptance 0001414932-24-000004,2024-01-31T22:57:51Z,periodic fallback 0001414932-24-000004,False,False,False,complete
2023-12-31,2023Q4,PSEC,1287032,10-Q,0001287032-24-000043,2024-02-08T21:32:02Z,1,0,False,,False,,2024-02-08T21:32:02Z,SOI/periodic acceptance 0001287032-24-000043,2024-02-08T21:32:02Z,periodic fallback 0001287032-24-000043,False,False,False,complete
2024-03-31,2024Q1,ASIF,1918712,10-Q,0001918712-24-000069,2024-05-10T20:12:11Z,2,0,False,,False,,2024-05-10T20:12:11Z,SOI/periodic acceptance 0001918712-24-000069,2024-05-10T20:12:11Z,periodic fallback 0001918712-24-000069,False,False,False,complete
2024-03-31,2024Q1,BCRED,1803498,10-Q,0001803498-24-000022,2024-05-13T21:08:19Z,3,0,False,,False,,2024-05-13T21:08:19Z,SOI/periodic acceptance 0001803498-24-000022,2024-05-13T21:08:19Z,periodic fallback 0001803498-24-000022,False,False,False,complete
2024-03-31,2024Q1,BXSL,1736035,10-Q,0001736035-24-000017,2024-05-08T10:18:09Z,1,0,False,,False,,2024-05-08T10:18:09Z,SOI/periodic acceptance 0001736035-24-000017,2024-05-08T10:18:09Z,periodic fallback 0001736035-24-000017,False,False,False,complete
2024-03-31,2024Q1,CGBD,1544206,10-Q,0001544206-24-000036,2024-05-07T21:19:25Z,1,1,False,,False,,2024-05-07T21:19:25Z,SOI/periodic acceptance 0001544206-24-000036,2024-05-07T21:19:25Z,periodic fallback 0001544206-24-000036,False,False,False,complete
