field,stage,archive,fund,cik,source_table,source_column_or_concept,raw_row_count,non_missing_count,non_missing_percentage,normalized_row_count,normalized_non_missing_count,normalized_coverage,aggregated_row_count,aggregated_non_missing_count,aggregated_coverage,blind_row_count,blind_non_missing_count,blind_coverage,aggregation_loss_count,export_loss_count,direct_parser_loss_count,support_join_loss_count,support_unmatched_count,exact_loss_stage,representative_raw_examples_json,diagnosis,recommended_action
maturity,raw_soi,2024q1,ARCC,1287750,soi.tsv,{},2179,0,0.000000,2758,0,0.000000,2240,0,0.000000,2,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,supporting_facts,2024q1,ARCC,1287750,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},2179,0,0.000000,2758,0,0.000000,2240,0,0.000000,2,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,normalized,2024q1,ARCC,1287750,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,{},2758,0,0.000000,2758,0,0.000000,2240,0,0.000000,2,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,aggregated,2024q1,ARCC,1287750,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,{},2240,0,0.000000,2758,0,0.000000,2240,0,0.000000,2,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,blind_export,2024q1,ARCC,1287750,data/day3/blind_facility_pairs_v2.csv,{},2,0,0.000000,2758,0,0.000000,2240,0,0.000000,2,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
currency,raw_soi,2024q1,ARCC,1287750,soi.tsv,{},2179,0,0.000000,2758,0,0.000000,2240,0,0.000000,2,0,0.000000,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,supporting_facts,2024q1,ARCC,1287750,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},2179,0,0.000000,2758,0,0.000000,2240,0,0.000000,2,0,0.000000,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,normalized,2024q1,ARCC,1287750,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,{},2758,0,0.000000,2758,0,0.000000,2240,0,0.000000,2,0,0.000000,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,aggregated,2024q1,ARCC,1287750,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,{},2240,0,0.000000,2758,0,0.000000,2240,0,0.000000,2,0,0.000000,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,blind_export,2024q1,ARCC,1287750,data/day3/blind_facility_pairs_v2.csv,{},2,0,0.000000,2758,0,0.000000,2240,0,0.000000,2,0,0.000000,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
reference_rate,raw_soi,2024q1,ARCC,1287750,soi.tsv,{},2179,0,0.000000,2758,1,0.036258,2240,1,0.044643,2,0,0.000000,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,supporting_facts,2024q1,ARCC,1287750,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},2179,0,0.000000,2758,1,0.036258,2240,1,0.044643,2,0,0.000000,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,normalized,2024q1,ARCC,1287750,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,"{""reference_rate"":1}",2758,1,0.036258,2758,1,0.036258,2240,1,0.044643,2,0,0.000000,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,aggregated,2024q1,ARCC,1287750,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,"{""reference_rate"":1}",2240,1,0.044643,2758,1,0.036258,2240,1,0.044643,2,0,0.000000,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,blind_export,2024q1,ARCC,1287750,data/day3/blind_facility_pairs_v2.csv,{},2,0,0.000000,2758,1,0.036258,2240,1,0.044643,2,0,0.000000,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
acquisition_date,raw_soi,2024q1,ARCC,1287750,soi.tsv,{},2179,0,0.000000,2758,0,0.000000,2240,0,0.000000,2,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
acquisition_date,supporting_facts,2024q1,ARCC,1287750,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},2179,0,0.000000,2758,0,0.000000,2240,0,0.000000,2,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
