blind_alias_id,period_end,source_ticker,source_borrower_norm,source_identifier,source_facility_type,source_lien,source_currency,source_reference_rate,source_spread,source_maturity,source_funded_status,candidate_ticker,candidate_borrower_norm,candidate_identifier,candidate_facility_type,candidate_lien,candidate_currency,candidate_reference_rate,candidate_spread,candidate_maturity,candidate_funded_status,manual_same_borrower,manual_same_facility,review_notes
BA2_054d3151d435c249252857,2025-09-30,ARCC,north american science associates cardinal purchaser and cardinal topco,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P., First lien senior secured loan 1",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,NMFC,american achievement aka aac undrawn,"American Achievement Corporation (aka AAC Holding Corp.), First lien - Undrawn",other_debt,first_lien,UNKNOWN,UNKNOWN,,,funded,no,not_applicable,"Independent reviewers agreed. Candidate is a differently named company with no token overlap with the source obligor group. Different borrowers, so no facility comparison applies."
BA2_f9073db8656728bea31caa,2025-09-30,ARCC,psc parent,"PSC Parent, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,NMFC,railpros parent,"RailPros Parent, LLC, First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.045,,funded,no,not_applicable,"Independent reviewers agreed. Only the generic token ""Parent"" is shared; the distinctive name differs entirely. Different borrowers."
BA2_d3a4056569fa7e6221bc38,2025-09-30,ARCC,quick quack car wash and kkr game changer invest feeder ii,"Quick Quack Car Wash Holdings, LLC and KKR Game Changer Co-Invest Feeder II L.P., First lien senior secured loan 1",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0475,,funded,OBDC,aam aviation feeder specialty finance investment,"AAM Series 2.1 Aviation Feeder, LLC, Specialty finance debt investment",other_debt,unknown,UNKNOWN,UNKNOWN,,,funded,no,not_applicable,"Independent reviewers agreed. Match rests on generic tokens (""Feeder"", ""Aviation"") only; the candidate is a separate specialty finance vehicle with a different name. Different borrowers."
BA2_2f0c725eeda966184df744,2025-09-30,ARCC,nordic ferry infrastructure as,"Nordic Ferry Infrastructure AS, Senior subordinated loan 2",other_debt,subordinated,UNKNOWN,UNKNOWN,0.05,,funded,NMFC,eagle infrastructure services fka fr arsenal ii,"Eagle Infrastructure Services, LLC (fka FR Arsenal Holdings II Corp.), First lien 2",other_debt,first_lien,UNKNOWN,UNKNOWN,0.075,,funded,no,not_applicable,"Independent reviewers agreed. Only the generic token ""Infrastructure"" is shared; distinctive names differ, and the candidate carries an unrelated former name. Different borrowers."
BA2_ecc26a048da685dcf6301d,2025-09-30,ARCC,north american science associates cardinal purchaser and cardinal topco,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P., First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.045,,funded,NMFC,cardinal parent,"Cardinal Parent, Inc., First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.045,,funded,yes,uncertain,"Adjudicated after reviewer disagreement. Source identifier bundles the borrower with the candidate name (the token cardinal appears inside the source string itself), which is direct textual co-obligor evidence rather than a mere Parent/Topco naming guess, so same borrower group is accepted. Facility undetermined: revolver versus the other_debt catch-all is not an explicit conflict, and the identical spread does not discriminate because revolver and term tranches commonly share spread."
BA2_f0573c1afe8db06b090d15,2025-09-30,ARCC,laboratories bidco and laboratories topco,"Laboratories Bidco LLC and Laboratories Topco LLC, First lien senior secured revolving loan 2",revolver,first_lien,UNKNOWN,UNKNOWN,0.0075,,funded,,,,,,,,,,,uncertain,uncertain,"Adjudicated after reviewer disagreement. No candidate side was observed for this source facility, so borrower identity cannot be assessed and there is no second facility to compare. Recorded as a non-observation rather than a negative: these rows must be excluded from any precision or recall denominator, not counted as true negatives."
BA2_e9b5001d133642f41ab452,2025-09-30,ARCC,wshp fc acquisition and wshp fc,"WSHP FC Acquisition LLC and WSHP FC Holdings LLC, First lien senior secured loan 1",other_debt,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,,,,,,,,,,,uncertain,uncertain,"Adjudicated after reviewer disagreement. No candidate side was observed for this source facility, so borrower identity cannot be assessed and there is no second facility to compare. Recorded as a non-observation rather than a negative: these rows must be excluded from any precision or recall denominator, not counted as true negatives."
BA2_31d39cccc79950318ffb6d,2025-09-30,ARCC,north american science associates cardinal purchaser and cardinal topco,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P., First lien senior secured loan 4",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,NMFC,american achievement aka aac,"American Achievement Corporation (aka AAC Holding Corp.), First lien 2",other_debt,first_lien,UNKNOWN,UNKNOWN,0.005,,funded,no,not_applicable,"Independent reviewers agreed. Candidate is a differently named company with no token overlap with the source obligor group; spreads are also far apart (0.0600 vs 0.0050). Different borrowers, so no facility comparison applies."
BA2_57027f6da03566886e308c,2025-09-30,ARCC,north american science associates cardinal purchaser and cardinal topco,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P., First lien senior secured loan 2",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,NMFC,cardinal parent,"Cardinal Parent, Inc., Second lien",other_debt,second_lien,UNKNOWN,UNKNOWN,0.0775,,funded,yes,no,"Adjudicated after reviewer disagreement. Source identifier bundles the borrower with the candidate name (the token cardinal appears inside the source string itself), which is direct textual co-obligor evidence rather than a mere Parent/Topco naming guess, so same borrower group is accepted. Facility differs: lien conflict (first_lien vs second_lien)."
BA2_e43b2a4de54a4c10542d98,2025-09-30,ARCC,pcia spv and ase royal aggregator,"PCIA SPV-3, LLC and ASE Royal Aggregator, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0525,,funded,,,,,,,,,,,uncertain,uncertain,"Adjudicated after reviewer disagreement. No candidate side was observed for this source facility, so borrower identity cannot be assessed and there is no second facility to compare. Recorded as a non-observation rather than a negative: these rows must be excluded from any precision or recall denominator, not counted as true negatives."
