event_id,security_code,issuer,publication_timestamp_jst,title_jp,yanoshin_id,yanoshin_document_url,sample_seed,sample_locked,recovery_status,old_revenue,new_revenue,old_operating_profit,new_operating_profit,old_ordinary_profit,new_ordinary_profit,old_net_income,new_net_income,evidence_url,failure_reason
JP_Y1024794,6715,ナカヨ,2024-07-19 17:00:00,固定資産の譲渡および特別利益(固定資産売却益)の計上並びに業績予想の修正に関するお知らせ,1024794,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120240711547259.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y1026449,6413,理想科学,2024-07-30 16:00:00,業績予想の修正に関するお知らせ,1026449,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120240716549923.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y1026467,9679,ホウライ,2024-07-30 16:00:00,通期業績予想の修正に関するお知らせ,1026467,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120240730557403.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y1026602,5440,共英製鋼,2024-07-31 13:00:00,業績予想の修正に関するお知らせ,1026602,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120240731559043.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y1027010,6524,湖北工業,2024-07-31 15:30:00,第 2 四半期（中間期）業績予想の修正に関するお知らせ,1027010,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120240731559407.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y900826,7317,Ｇ－松屋Ｒ＆Ｄ,2023-01-16 11:30:00,2023年３月期連結業績予想の修正に関するお知らせ,900826,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120230116589729.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y900848,3940,ノムラシステム,2023-01-16 14:30:00,2022年12月期通期業績予想の修正に関するお知らせ,900848,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120230112588541.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y901193,5699,イボキン,2023-01-18 15:10:00,通期連結業績予想の修正に関するお知らせ,901193,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120230118590593.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y901194,6063,ＥＡＪ,2023-01-18 15:05:00,通期連結業績予想の修正に関するお知らせ,901194,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120230116590040.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y902769,4661,ＯＬＣ,2023-01-30 16:00:00,2023年3月期通期連結業績予想の修正に関するお知らせ,902769,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120230130596037.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
