layer,report_period_label,source_ticker,target_ticker,source_manager,target_manager,manager_relationship,observation_count,unique_source_facilities,unique_borrowers
blind_facility_sample_v3,2023Q4,ARCC,ASIF,Ares Management,Ares Management,same_manager,1,1,1
blind_facility_sample_v3,2023Q4,ARCC,GBDC,Ares Management,Golub Capital,cross_manager,1,1,1
blind_facility_sample_v3,2023Q4,BCRED,BXSL,Blackstone Credit & Insurance,Blackstone Credit & Insurance,same_manager,1,1,1
blind_facility_sample_v3,2023Q4,BXSL,GBDC,Blackstone Credit & Insurance,Golub Capital,cross_manager,1,1,1
blind_facility_sample_v3,2023Q4,HPS,OBDC,HPS Investment Partners,Blue Owl Credit,cross_manager,1,1,1
blind_facility_sample_v3,2023Q4,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,1,1,1
blind_facility_sample_v3,2023Q4,OBDC,OCIC,Blue Owl Credit,Blue Owl Credit,same_manager,6,6,6
blind_facility_sample_v3,2023Q4,OBDC,OCSL,Blue Owl Credit,Oaktree Capital Management,cross_manager,1,1,1
blind_facility_sample_v3,2023Q4,OCIC,ASIF,Blue Owl Credit,Ares Management,cross_manager,1,1,1
blind_facility_sample_v3,2023Q4,OCIC,OBDC,Blue Owl Credit,Blue Owl Credit,same_manager,1,1,1
blind_facility_sample_v3,2024Q1,ARCC,HPS,Ares Management,HPS Investment Partners,cross_manager,1,1,1
blind_facility_sample_v3,2024Q1,BXSL,BCRED,Blackstone Credit & Insurance,Blackstone Credit & Insurance,same_manager,2,2,2
blind_facility_sample_v3,2024Q1,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,1,1,1
blind_facility_sample_v3,2024Q1,NMFC,OCIC,New Mountain Capital,Blue Owl Credit,cross_manager,1,1,1
blind_facility_sample_v3,2024Q1,OBDC,NMFC,Blue Owl Credit,New Mountain Capital,cross_manager,1,1,1
blind_facility_sample_v3,2024Q1,OBDC,OCIC,Blue Owl Credit,Blue Owl Credit,same_manager,6,6,6
blind_facility_sample_v3,2024Q1,OCIC,NMFC,Blue Owl Credit,New Mountain Capital,cross_manager,1,1,1
blind_facility_sample_v3,2024Q1,OCIC,OBDC,Blue Owl Credit,Blue Owl Credit,same_manager,3,3,3
blind_facility_sample_v3,2024Q1,OCSL,OCIC,Oaktree Capital Management,Blue Owl Credit,cross_manager,1,1,1
blind_facility_sample_v3,2024Q2,ARCC,ASIF,Ares Management,Ares Management,same_manager,2,2,2
blind_facility_sample_v3,2024Q2,ARCC,BCRED,Ares Management,Blackstone Credit & Insurance,cross_manager,1,1,1
