report_period_end,report_period_label,ticker,cik,listed_status,form,accession,acceptance_timestamp_utc,acceptance_timestamp_et,market_session,event_type,exhibit_url,periodic_filing_accession,periodic_filing_url,verification_status,verification_evidence,exclusion_reason,days_after_period_end,candidate_search_window_days
2023-12-31,2023Q4,GBDC,1476765,listed,8-K,0001476765-24-000005,2024-01-17T13:44:44.000Z,2024-01-17T08:44:44-05:00,pre-market,8-K_ITEM_2.02_RESULTS,https://www.sec.gov/Archives/edgar/data/1476765/000147676524000005/gbdcfy2024q1earningspre-re.htm,0001476765-24-000016,https://www.sec.gov/Archives/edgar/data/1476765/000147676524000016/gbdc-20231231.htm,verified_exhibit_content,verified EX-99 results/NAV metrics; exact period-end date 2023-12-31 found in exhibit,0001476765-24-000022: scheduling announcement; future results date only | 0001104659-24-004323: no exact period evidence for 2023-12-31 in exhibit | 0001476765-24-000002: scheduling announcement; future results date only,17,0-120
2023-12-31,2023Q4,MAIN,1396440,listed,8-K,0001396440-24-000042,2024-01-17T13:50:05.000Z,2024-01-17T08:50:05-05:00,pre-market,8-K_ITEM_2.02_RESULTS,https://www.sec.gov/Archives/edgar/data/1396440/000139644024000042/main-2024117xexx991.htm,0001396440-24-000055,https://www.sec.gov/Archives/edgar/data/1396440/000139644024000055/main-20231231.htm,verified_exhibit_content,verified EX-99 results/NAV metrics; exact period-end date 2023-12-31 found in exhibit,0001396440-24-000065: Item 2.02 exhibit lacks verified quarterly results/NAV metrics | 0001396440-24-000038: Item 2.02 exhibit lacks verified quarterly results/NAV metrics,17,0-120
2023-12-31,2023Q4,NMFC,1496099,listed,8-K,0001104659-24-004666,2024-01-18T12:08:08.000Z,2024-01-18T07:08:08-05:00,pre-market,8-K_ITEM_2.02_RESULTS,https://www.sec.gov/Archives/edgar/data/1496099/000110465924004666/tm243476d1_ex99-1.htm,0001496099-24-000012,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000012/nmfc-20231231.htm,verified_exhibit_content,verified EX-99 results/NAV metrics; exact period-end date 2023-12-31 found in exhibit,,18,0-120
2023-12-31,2023Q4,BBDC,1379785,listed,8-K,0001379785-24-000003,2024-01-25T21:15:33.000Z,2024-01-25T16:15:33-05:00,after-market,8-K_ITEM_2.02_RESULTS,https://www.sec.gov/Archives/edgar/data/1379785/000137978524000003/exhibit99120240125prelimea.htm,0001379785-24-000015,https://www.sec.gov/Archives/edgar/data/1379785/000137978524000015/bbdc-20231231.htm,verified_exhibit_content,verified EX-99 results/NAV metrics; exact period-end date 2023-12-31 found in exhibit,,25,0-120
2023-12-31,2023Q4,OCSL,1414932,listed,10-Q,0001414932-24-000004,2024-01-31T22:57:51.000Z,2024-01-31T17:57:51-05:00,after-market,10-Q,,0001414932-24-000004,https://www.sec.gov/Archives/edgar/data/1414932/000141493224000004/ocsl-20231231.htm,verified_periodic_filing_fallback,10-Q reportDate exactly equals 2023-12-31,,31,0-120
2023-12-31,2023Q4,ARCC,1287750,listed,8-K,0001287750-24-000009,2024-02-06T21:39:26.000Z,2024-02-06T16:39:26-05:00,after-market,8-K_ITEM_2.02_RESULTS,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000009/arccq4-23exhibit991.htm,0001287750-24-000011,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000011/arcc-20231231.htm,verified_exhibit_content,verified EX-99 results/NAV metrics; exact period-end date 2023-12-31 found in exhibit,,37,0-120
2023-12-31,2023Q4,PSEC,1287032,listed,10-Q,0001287032-24-000043,2024-02-08T21:32:02.000Z,2024-02-08T16:32:02-05:00,after-market,10-Q,,0001287032-24-000043,https://www.sec.gov/Archives/edgar/data/1287032/000128703224000043/psec-20231231.htm,verified_periodic_filing_fallback,10-Q reportDate exactly equals 2023-12-31,0001287032-24-000029: 8-K has no EX-99 exhibit,39,0-120
2023-12-31,2023Q4,TSLX,1508655,listed,8-K,0000950170-24-015849,2024-02-15T21:02:10.000Z,2024-02-15T16:02:10-05:00,after-market,8-K_ITEM_2.02_RESULTS,https://www.sec.gov/Archives/edgar/data/1508655/000095017024015849/tslx-ex99_1.htm,0000950170-24-015845,https://www.sec.gov/Archives/edgar/data/1508655/000095017024015845/tslx-20231231.htm,verified_exhibit_content,verified EX-99 results/NAV metrics; exact period-end date 2023-12-31 found in exhibit,,46,0-120
2023-12-31,2023Q4,HTGC,1280784,listed,10-K,0001280784-24-000007,2024-02-15T21:17:43.000Z,2024-02-15T16:17:43-05:00,after-market,10-K,,0001280784-24-000007,https://www.sec.gov/Archives/edgar/data/1280784/000128078424000007/htgc-20231231.htm,verified_periodic_filing_fallback,10-K reportDate exactly equals 2023-12-31,,46,0-120
2023-12-31,2023Q4,OBDC,1655888,listed,10-K,0001655888-24-000008,2024-02-21T21:56:10.000Z,2024-02-21T16:56:10-05:00,after-market,10-K,,0001655888-24-000008,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000008/obdc-20231231.htm,verified_periodic_filing_fallback,10-K reportDate exactly equals 2023-12-31,0001193125-24-089048: scheduling announcement; future results date only | 0001193125-24-006860: scheduling announcement; future results date only,52,0-120
2023-12-31,2023Q4,MFIC,1278752,listed,10-K,0000950170-24-020118,2024-02-26T21:03:00.000Z,2024-02-26T16:03:00-05:00,after-market,10-K,,0000950170-24-020118,https://www.sec.gov/Archives/edgar/data/1278752/000095017024020118/mfic-20231231.htm,verified_periodic_filing_fallback,10-K reportDate exactly equals 2023-12-31,,57,0-120
