normalized_borrower,included_source_event_cluster_count,included_observation_count,report_period_count,source_ticker_count,target_ticker_count
associations,1,1,1,1,1
asurion,1,1,1,1,1
athenahealth,2,2,2,1,1
baker tilly advisory,1,1,1,1,1
bamboo us bidco,1,1,1,1,1
broadcast music,1,1,1,1,1
bw,1,1,1,1,1
community brands parentco,2,2,2,1,1
confluent health,3,3,3,1,1
confluent medical technologies,1,1,1,1,1
dealer tire financial,1,1,1,1,1
forescout technologies,2,2,2,1,1
icefall parent,1,1,1,1,1
imprivata,1,1,1,1,1
next holdco,1,1,1,1,1
physician partners,4,4,4,2,2
pluralsight,5,7,2,2,3
realpage,3,4,2,2,2
valcour packaging,1,1,1,1,1
xplor t1,1,1,1,1,1
