review_observation_id,source_event_cluster_id,period_end,report_period_label,normalized_borrower,source_ticker,target_ticker,source_manager,target_manager,manager_relationship,source_current_raw_identifier,source_current_facility_type,source_current_lien,source_current_currency,source_current_reference_rate,source_current_spread,source_current_maturity,source_current_funded_status,source_current_acquisition_date,source_current_constituent_raw_identifiers_json,source_current_aggregation_lot_count,source_current_accepted_timestamp_utc,source_current_filing_evidence_url,source_current_raw_provenance_json,source_prior_raw_identifier,source_prior_facility_type,source_prior_lien,source_prior_currency,source_prior_reference_rate,source_prior_spread,source_prior_maturity,source_prior_funded_status,source_prior_acquisition_date,source_prior_constituent_raw_identifiers_json,source_prior_aggregation_lot_count,source_prior_accepted_timestamp_utc,source_prior_filing_evidence_url,source_prior_raw_provenance_json,target_prior_raw_identifier,target_prior_facility_type,target_prior_lien,target_prior_currency,target_prior_reference_rate,target_prior_spread,target_prior_maturity,target_prior_funded_status,target_prior_acquisition_date,target_prior_constituent_raw_identifiers_json,target_prior_aggregation_lot_count,target_prior_accepted_timestamp_utc,target_prior_filing_evidence_url,target_prior_raw_provenance_json,source_results_public_timestamp_utc,source_mark_public_timestamp_utc,source_information_timestamp_utc,source_mark_public_evidence,source_results_evidence_url,source_results_verification_evidence,source_prior_public_timestamp_utc,source_prior_reporting_evidence_url,target_prior_public_timestamp_utc,target_prior_reporting_evidence_url,target_cutoff_timestamp_utc,target_cutoff_evidence_url,target_cutoff_verification_evidence,source_temporal_same_facility,source_to_target_prior_same_facility,source_aggregation_valid,target_prior_aggregation_valid,include_for_confirmatory_test,review_notes
D4R_01b641c9bfd7e18df2abdc79,D4C_726f7af6b188074e15c9dcf4,2025-06-30,2025Q2,physician partners,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Physician Partners, LLC 1, First Lien - Funded | Physician Partners, LLC 1, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,,"[""Physician Partners, LLC 1, First Lien - Funded"",""Physician Partners, LLC 1, First lien - Funded""]",2,2025-08-04T16:49:00Z,https://www.sec.gov/Archives/edgar/data/1496099/000149609925000027/,"[""2025q3:25059"",""2025q3:25258""]","Physician Partners, LLC 1, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,,"[""Physician Partners, LLC 1, First lien - Funded""]",1,2025-05-05T16:21:00Z,https://www.sec.gov/Archives/edgar/data/1496099/000149609925000018/,"[""2025q2:22367"",""2025q2:22565""]","Physician Partners, LLC, First lien senior secured loan 1",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,,"[""Physician Partners, LLC, First lien senior secured loan 1""]",1,2025-05-07T16:16:00Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588825000012/,"[""2025q2:100119""]",2025-08-04T20:39:28Z,2025-08-04T16:49:00Z,2025-08-04T20:39:28Z,SOI acceptance; no earlier exact facility mark verified in EX-99,https://www.sec.gov/Archives/edgar/data/1496099/000149609925000025/nmfcearningspressreleaseq2.htm,selection and timestamp preserved from verified Day 1/Day 2 reporting_order.csv,2025-05-05T20:16:38Z,https://www.sec.gov/Archives/edgar/data/1496099/000149609925000017/nmfcearningspressreleaseq1.htm,2025-05-07T20:15:44Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588825000012/obdc-20250331.htm,2025-08-06T20:05:51Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588825000020/obdc-20250630.htm,selection and timestamp preserved from verified Day 1/Day 2 reporting_order.csv,,,,,,
D4R_028c15dec94cf5c22ab6c5d8,D4C_fc49f8fdbe4691bf868cd29f,2024-09-30,2024Q3,asurion,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Asurion, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0425,,funded,,"[""Asurion, LLC, First lien - Funded""]",1,2024-10-30T16:35:00Z,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000040/,"[""2024q4:21419"",""2024q4:21621""]","Asurion, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0425,,funded,,"[""Asurion, LLC, First lien - Funded""]",1,2024-07-31T17:12:00Z,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000034/,"[""2024q3:20707"",""2024q3:20912""]","Asurion, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0425,,funded,,"[""Asurion, LLC, First lien senior secured loan""]",1,2024-08-07T16:28:00Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000019/,"[""2024q3:20246""]",2024-10-30T20:14:36Z,2024-10-30T16:35:00Z,2024-10-30T20:14:36Z,SOI acceptance; no earlier exact facility mark verified in EX-99,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000038/nmfcearningspressreleaseq3.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-09-30 found in exhibit,2024-07-31T21:02:57Z,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000032/nmfcearningspressreleaseq2.htm,2024-08-07T20:16:31Z,https://www.sec.gov/Archives/edgar/data/1655888/000119312524195906/d857906dex991.htm,2024-11-06T21:06:55Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000023/obdc-20240930.htm,10-Q reportDate exactly equals 2024-09-30,,,,,,
D4R_046729c04cd85bad77f0e986,D4C_8c98b5883e8bbdde26bf5240,2024-03-31,2024Q1,realpage,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager,"RealPage, Inc., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""RealPage, Inc., Second lien senior secured loan""]",1,2024-04-30T21:41:00Z,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000028/,"[""2024q2:80723""]","RealPage, Inc., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""RealPage, Inc., Second lien senior secured loan""]",1,2024-02-07T06:13:00Z,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000011/,"[""2024q1:69168""]","REALPAGE, INC., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""REALPAGE, INC., Second lien senior secured loan""]",1,2024-02-21T16:56:00Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000008/,"[""2024q1:69179""]",2024-04-30T21:30:34Z,2024-04-30T21:41:00Z,2024-04-30T21:41:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000026/arccq1-24exhibit991.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-03-31 found in exhibit,2024-02-07T06:13:00Z,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000009/arccq4-23exhibit991.htm,2024-02-21T21:56:10Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000008/obdc-20231231.htm,2024-05-08T20:11:16Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000014/obdc-20240331.htm,10-Q reportDate exactly equals 2024-03-31,,,,,,
D4R_050d9952c90eef752ebed47c,D4C_510f33a4eae2b40af398912b,2024-06-30,2024Q2,pluralsight,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager,"Pluralsight, Inc., First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,,,funded,,"[""Pluralsight, Inc., First lien senior secured revolving loan""]",1,2024-07-29T21:10:00Z,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000039/,"[""2024q3:79013""]","Pluralsight, Inc., First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,,"[""Pluralsight, Inc., First lien senior secured revolving loan""]",1,2024-04-30T21:41:00Z,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000028/,"[""2024q2:76911""]","Pluralsight, LLC, First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,,"[""Pluralsight, LLC, First lien senior secured revolving loan""]",1,2024-05-08T16:11:00Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000014/,"[""2024q2:76931""]",2024-07-29T20:56:19Z,2024-07-29T21:10:00Z,2024-07-29T21:10:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000037/arccq2-24exhibit991.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-06-30 found in exhibit,2024-04-30T21:41:00Z,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000026/arccq1-24exhibit991.htm,2024-05-08T20:11:16Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000014/obdc-20240331.htm,2024-08-07T20:16:31Z,https://www.sec.gov/Archives/edgar/data/1655888/000119312524195906/d857906dex991.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-06-30 found in exhibit,,,,,,
D4R_0b4a0e10f02e2742cd04854e,D4C_92d72f298af2d6b7ed4efb32,2025-03-31,2025Q1,forescout technologies,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager,"Forescout Technologies, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,,"[""Forescout Technologies, Inc., First lien senior secured loan""]",1,2025-04-28T21:50:00Z,https://www.sec.gov/Archives/edgar/data/1287750/000128775025000020/,"[""2025q2:54703""]","Forescout Technologies, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,,"[""Forescout Technologies, Inc., First lien senior secured loan""]",1,2025-02-04T21:36:00Z,https://www.sec.gov/Archives/edgar/data/1287750/000128775025000007/,"[""2025q1:48370""]","Forescout Technologies, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,,"[""Forescout Technologies, Inc., First lien senior secured loan""]",1,2025-02-19T16:33:00Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588825000007/,"[""2025q1:48374""]",2025-04-28T21:50:25Z,2025-04-28T21:50:00Z,2025-04-28T21:50:25Z,SOI acceptance; no earlier exact facility mark verified in EX-99,https://www.sec.gov/Archives/edgar/data/1287750/000128775025000020/arcc-20250331.htm,selection and timestamp preserved from verified Day 1/Day 2 reporting_order.csv,2025-02-04T21:36:00Z,https://www.sec.gov/Archives/edgar/data/1287750/000128775025000004/arccq4-2024exhibit991.htm,2025-02-19T16:33:00Z,https://www.sec.gov/Archives/edgar/data/1655888/000119312525007423/d917816dex991.htm,2025-05-07T20:15:44Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588825000012/obdc-20250331.htm,selection and timestamp preserved from verified Day 1/Day 2 reporting_order.csv,,,,,,
D4R_21c096069e35b49db469c480,D4C_eb6f8f4c18848dc686d23284,2024-06-30,2024Q2,confluent health,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Confluent Health, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Confluent Health, LLC, First lien - Funded""]",1,2024-07-31T17:12:00Z,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000034/,"[""2024q3:20739"",""2024q3:20946""]","Confluent Health, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Confluent Health, LLC, First lien - Funded""]",1,2024-05-01T17:09:00Z,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000023/,"[""2024q2:19702"",""2024q2:19904""]","Confluent Health, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Confluent Health, LLC, First lien senior secured loan""]",1,2024-05-08T16:11:00Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000014/,"[""2024q2:19241""]",2024-07-31T21:02:57Z,2024-07-31T17:12:00Z,2024-07-31T21:02:57Z,SOI acceptance; no earlier exact facility mark verified in EX-99,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000032/nmfcearningspressreleaseq2.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-06-30 found in exhibit,2024-05-01T21:02:05Z,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000021/nmfcearningspressreleaseq1.htm,2024-05-08T20:11:16Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000014/obdc-20240331.htm,2024-08-07T20:16:31Z,https://www.sec.gov/Archives/edgar/data/1655888/000119312524195906/d857906dex991.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-06-30 found in exhibit,,,,,,
D4R_26c3db52d7ddff45d7602bfa,D4C_5ab47a588b6b9c56bee69906,2024-03-31,2024Q1,physician partners,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Physician Partners, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Physician Partners, LLC, First lien - Funded""]",1,2024-05-01T17:09:00Z,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000023/,"[""2024q2:19799"",""2024q2:19987""]","Physician Partners, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Physician Partners, LLC, First lien - Funded""]",1,2024-02-26T16:48:00Z,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000012/,"[""2024q1:18118"",""2024q1:18304""]","Physician Partners, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Physician Partners, LLC, First lien senior secured loan""]",1,2024-02-21T16:56:00Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000008/,"[""2024q1:17571""]",2024-05-01T21:02:05Z,2024-05-01T17:09:00Z,2024-05-01T21:02:05Z,SOI acceptance; no earlier exact facility mark verified in EX-99,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000021/nmfcearningspressreleaseq1.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-03-31 found in exhibit,2024-02-26T16:48:00Z,https://www.sec.gov/Archives/edgar/data/1496099/000110465924004666/tm243476d1_ex99-1.htm,2024-02-21T21:56:10Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000008/obdc-20231231.htm,2024-05-08T20:11:16Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000014/obdc-20240331.htm,10-Q reportDate exactly equals 2024-03-31,,,,,,
D4R_2c41a2784f9e7481c762adab,D4C_838b5fc640471bf1cf299f0d,2024-06-30,2024Q2,dealer tire financial,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Dealer Tire Financial, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,,"[""Dealer Tire Financial, LLC, First lien - Funded""]",1,2024-07-31T17:12:00Z,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000034/,"[""2024q3:20956""]","Dealer Tire Financial, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,,"[""Dealer Tire Financial, LLC, First lien - Funded""]",1,2024-05-01T17:09:00Z,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000023/,"[""2024q2:19716"",""2024q2:19914""]","Dealer Tire Financial, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,,"[""Dealer Tire Financial, LLC, First lien senior secured loan""]",1,2024-05-08T16:11:00Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000014/,"[""2024q2:19257""]",2024-07-31T21:02:57Z,2024-07-31T17:12:00Z,2024-07-31T21:02:57Z,SOI acceptance; no earlier exact facility mark verified in EX-99,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000032/nmfcearningspressreleaseq2.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-06-30 found in exhibit,2024-05-01T21:02:05Z,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000021/nmfcearningspressreleaseq1.htm,2024-05-08T20:11:16Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000014/obdc-20240331.htm,2024-08-07T20:16:31Z,https://www.sec.gov/Archives/edgar/data/1655888/000119312524195906/d857906dex991.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-06-30 found in exhibit,,,,,,
D4R_3070014a3ffa405cf7447809,D4C_6d35b374372a09cc8ed21d3b,2024-09-30,2024Q3,confluent health,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Confluent Health, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Confluent Health, LLC, First lien - Funded""]",1,2024-10-30T16:35:00Z,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000040/,"[""2024q4:21451"",""2024q4:21654""]","Confluent Health, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Confluent Health, LLC, First lien - Funded""]",1,2024-07-31T17:12:00Z,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000034/,"[""2024q3:20739"",""2024q3:20946""]","Confluent Health, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Confluent Health, LLC, First lien senior secured loan""]",1,2024-08-07T16:28:00Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000019/,"[""2024q3:20274""]",2024-10-30T20:14:36Z,2024-10-30T16:35:00Z,2024-10-30T20:14:36Z,SOI acceptance; no earlier exact facility mark verified in EX-99,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000038/nmfcearningspressreleaseq3.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-09-30 found in exhibit,2024-07-31T21:02:57Z,https://www.sec.gov/Archives/edgar/data/1496099/000149609924000032/nmfcearningspressreleaseq2.htm,2024-08-07T20:16:31Z,https://www.sec.gov/Archives/edgar/data/1655888/000119312524195906/d857906dex991.htm,2024-11-06T21:06:55Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000023/obdc-20240930.htm,10-Q reportDate exactly equals 2024-09-30,,,,,,
D4R_30ed528dd88c7b13eb5023e1,D4C_c0f70d021fecb6ca1d12e263,2024-09-30,2024Q3,realpage,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager,"RealPage, Inc., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""RealPage, Inc., Second lien senior secured loan""]",1,2024-10-29T20:56:00Z,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000054/,"[""2024q4:87878""]","RealPage, Inc., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""RealPage, Inc., Second lien senior secured loan""]",1,2024-07-29T21:10:00Z,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000039/,"[""2024q3:82785""]","REALPAGE, INC., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""REALPAGE, INC., Second lien senior secured loan""]",1,2024-08-07T16:28:00Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000019/,"[""2024q3:82796""]",2024-10-29T20:49:55Z,2024-10-29T20:56:00Z,2024-10-29T20:56:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000053/arccq3-2024exhibit991.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-09-30 found in exhibit,2024-07-29T21:10:00Z,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000037/arccq2-24exhibit991.htm,2024-08-07T20:16:31Z,https://www.sec.gov/Archives/edgar/data/1655888/000119312524195906/d857906dex991.htm,2024-11-06T21:06:55Z,https://www.sec.gov/Archives/edgar/data/1655888/000165588824000023/obdc-20240930.htm,10-Q reportDate exactly equals 2024-09-30,,,,,,
