review_observation_id,source_event_cluster_id,period_end,report_period_label,normalized_borrower,source_ticker,target_ticker,source_manager,target_manager,manager_relationship,source_current_raw_identifier,source_current_facility_type,source_current_lien,source_current_currency,source_current_reference_rate,source_current_spread,source_current_maturity,source_current_funded_status,source_current_acquisition_date,source_current_constituent_raw_identifiers_json,source_current_aggregation_lot_count,source_current_accepted_timestamp_utc,source_prior_raw_identifier,source_prior_facility_type,source_prior_lien,source_prior_currency,source_prior_reference_rate,source_prior_spread,source_prior_maturity,source_prior_funded_status,source_prior_acquisition_date,source_prior_constituent_raw_identifiers_json,source_prior_aggregation_lot_count,source_prior_accepted_timestamp_utc,target_prior_raw_identifier,target_prior_facility_type,target_prior_lien,target_prior_currency,target_prior_reference_rate,target_prior_spread,target_prior_maturity,target_prior_funded_status,target_prior_acquisition_date,target_prior_constituent_raw_identifiers_json,target_prior_aggregation_lot_count,target_prior_accepted_timestamp_utc,source_current_evidence_id,source_prior_evidence_id,target_prior_evidence_id,source_results_public_timestamp_utc,source_mark_public_timestamp_utc,source_information_timestamp_utc,source_prior_public_timestamp_utc,target_prior_public_timestamp_utc,target_cutoff_timestamp_utc,source_mark_public_evidence,source_timing_evidence_id,source_timing_evidence_statement,target_cutoff_evidence_id,target_cutoff_evidence_statement,source_temporal_same_facility,source_to_target_prior_same_facility,source_aggregation_valid,target_prior_aggregation_valid,include_for_confirmatory_test,review_notes
D4R_01b641c9bfd7e18df2abdc79,D4C_726f7af6b188074e15c9dcf4,2025-06-30,2025Q2,physician partners,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Physician Partners, LLC 1, First Lien - Funded | Physician Partners, LLC 1, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,,"[""Physician Partners, LLC 1, First Lien - Funded"",""Physician Partners, LLC 1, First lien - Funded""]",2,2025-08-04T16:49:00Z,"Physician Partners, LLC 1, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,,"[""Physician Partners, LLC 1, First lien - Funded""]",1,2025-05-05T16:21:00Z,"Physician Partners, LLC, First lien senior secured loan 1",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,,"[""Physician Partners, LLC, First lien senior secured loan 1""]",1,2025-05-07T16:16:00Z,EVID_701bf0b0bddb5ac793e2321b58d8,EVID_25da59f87ab56fbf045eab4b3752,EVID_e00bb25992cd5680280c98ad3617,2025-08-04T20:39:28Z,2025-08-04T16:49:00Z,2025-08-04T20:39:28Z,2025-05-05T20:16:38Z,2025-05-07T20:15:44Z,2025-08-06T20:05:51Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_dcdad3aadf64676cc4cb88bf96a3,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_cfdc90da8292b0faedca36a026bd,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_028c15dec94cf5c22ab6c5d8,D4C_fc49f8fdbe4691bf868cd29f,2024-09-30,2024Q3,asurion,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Asurion, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0425,,funded,,"[""Asurion, LLC, First lien - Funded""]",1,2024-10-30T16:35:00Z,"Asurion, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0425,,funded,,"[""Asurion, LLC, First lien - Funded""]",1,2024-07-31T17:12:00Z,"Asurion, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0425,,funded,,"[""Asurion, LLC, First lien senior secured loan""]",1,2024-08-07T16:28:00Z,EVID_b2ddc9811641ce189b61588fdc62,EVID_0ca6a7d7229c50489daa884b73f7,EVID_8f57fe8e6a954b4d9e6bffc0a68c,2024-10-30T20:14:36Z,2024-10-30T16:35:00Z,2024-10-30T20:14:36Z,2024-07-31T21:02:57Z,2024-08-07T20:16:31Z,2024-11-06T21:06:55Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_aedbd98efd6d437be88c6365e02e,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_4f6588b28ad1a307964798f7ee7e,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_046729c04cd85bad77f0e986,D4C_8c98b5883e8bbdde26bf5240,2024-03-31,2024Q1,realpage,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager,"RealPage, Inc., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""RealPage, Inc., Second lien senior secured loan""]",1,2024-04-30T21:41:00Z,"RealPage, Inc., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""RealPage, Inc., Second lien senior secured loan""]",1,2024-02-07T06:13:00Z,"REALPAGE, INC., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""REALPAGE, INC., Second lien senior secured loan""]",1,2024-02-21T16:56:00Z,EVID_7944a8aae06a9e74cfb8cd1bb4aa,EVID_bad988c868e845869f829d2b3fc3,EVID_8625cf2e6a0b7963c4807e9a26c5,2024-04-30T21:30:34Z,2024-04-30T21:41:00Z,2024-04-30T21:41:00Z,2024-02-07T06:13:00Z,2024-02-21T21:56:10Z,2024-05-08T20:11:16Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_7635d0a72d586c1d6c81d025c28b,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_b6f275ab759090fa67dbdd7db098,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_050d9952c90eef752ebed47c,D4C_510f33a4eae2b40af398912b,2024-06-30,2024Q2,pluralsight,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager,"Pluralsight, Inc., First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,,,funded,,"[""Pluralsight, Inc., First lien senior secured revolving loan""]",1,2024-07-29T21:10:00Z,"Pluralsight, Inc., First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,,"[""Pluralsight, Inc., First lien senior secured revolving loan""]",1,2024-04-30T21:41:00Z,"Pluralsight, LLC, First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,,"[""Pluralsight, LLC, First lien senior secured revolving loan""]",1,2024-05-08T16:11:00Z,EVID_9995b489ba3a60b0fe7d89492fcd,EVID_8e3cb11c383edc3413aeca543c69,EVID_90fcd1d249dea8acfd46abd9b348,2024-07-29T20:56:19Z,2024-07-29T21:10:00Z,2024-07-29T21:10:00Z,2024-04-30T21:41:00Z,2024-05-08T20:11:16Z,2024-08-07T20:16:31Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_ae291016fcb2ab27587998262641,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_fe2c2091eb45d44c8e13f1e154bd,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_0b4a0e10f02e2742cd04854e,D4C_92d72f298af2d6b7ed4efb32,2025-03-31,2025Q1,forescout technologies,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager,"Forescout Technologies, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,,"[""Forescout Technologies, Inc., First lien senior secured loan""]",1,2025-04-28T21:50:00Z,"Forescout Technologies, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,,"[""Forescout Technologies, Inc., First lien senior secured loan""]",1,2025-02-04T21:36:00Z,"Forescout Technologies, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,,"[""Forescout Technologies, Inc., First lien senior secured loan""]",1,2025-02-19T16:33:00Z,EVID_6b5fc5e3a256e9a292e7dd45b43e,EVID_e1137197fa260e81dcbabc8262cf,EVID_221fe75d6a6364177fab5e191c0f,2025-04-28T21:50:25Z,2025-04-28T21:50:00Z,2025-04-28T21:50:25Z,2025-02-04T21:36:00Z,2025-02-19T16:33:00Z,2025-05-07T20:15:44Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_ac66af911e56856fd0d4f958abe1,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_d74006910aa6b0107a96e3fe23be,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_21c096069e35b49db469c480,D4C_eb6f8f4c18848dc686d23284,2024-06-30,2024Q2,confluent health,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Confluent Health, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Confluent Health, LLC, First lien - Funded""]",1,2024-07-31T17:12:00Z,"Confluent Health, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Confluent Health, LLC, First lien - Funded""]",1,2024-05-01T17:09:00Z,"Confluent Health, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Confluent Health, LLC, First lien senior secured loan""]",1,2024-05-08T16:11:00Z,EVID_c76977fb8b2a2950cf8a6d163207,EVID_79c463c4085fa325ecd10be98ecb,EVID_6a19df082f83a256a3edb306f362,2024-07-31T21:02:57Z,2024-07-31T17:12:00Z,2024-07-31T21:02:57Z,2024-05-01T21:02:05Z,2024-05-08T20:11:16Z,2024-08-07T20:16:31Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_6971524935f6fda37740b5845c00,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_fe2c2091eb45d44c8e13f1e154bd,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_26c3db52d7ddff45d7602bfa,D4C_5ab47a588b6b9c56bee69906,2024-03-31,2024Q1,physician partners,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Physician Partners, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Physician Partners, LLC, First lien - Funded""]",1,2024-05-01T17:09:00Z,"Physician Partners, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Physician Partners, LLC, First lien - Funded""]",1,2024-02-26T16:48:00Z,"Physician Partners, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Physician Partners, LLC, First lien senior secured loan""]",1,2024-02-21T16:56:00Z,EVID_10c5c240dfe0b6821568459f39c5,EVID_2544e38cfb71b220b314599c3312,EVID_dc1b705d57d47001df95546df877,2024-05-01T21:02:05Z,2024-05-01T17:09:00Z,2024-05-01T21:02:05Z,2024-02-26T16:48:00Z,2024-02-21T21:56:10Z,2024-05-08T20:11:16Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_f4da9a1599beb7dd1100bb660667,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_b6f275ab759090fa67dbdd7db098,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_2c41a2784f9e7481c762adab,D4C_838b5fc640471bf1cf299f0d,2024-06-30,2024Q2,dealer tire financial,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Dealer Tire Financial, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,,"[""Dealer Tire Financial, LLC, First lien - Funded""]",1,2024-07-31T17:12:00Z,"Dealer Tire Financial, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,,"[""Dealer Tire Financial, LLC, First lien - Funded""]",1,2024-05-01T17:09:00Z,"Dealer Tire Financial, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,,"[""Dealer Tire Financial, LLC, First lien senior secured loan""]",1,2024-05-08T16:11:00Z,EVID_d781250471991b241956233b8239,EVID_91e530de6cbfc233c62ca3600245,EVID_88a1bcc66efa26919fedc23814cb,2024-07-31T21:02:57Z,2024-07-31T17:12:00Z,2024-07-31T21:02:57Z,2024-05-01T21:02:05Z,2024-05-08T20:11:16Z,2024-08-07T20:16:31Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_6971524935f6fda37740b5845c00,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_fe2c2091eb45d44c8e13f1e154bd,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_3070014a3ffa405cf7447809,D4C_6d35b374372a09cc8ed21d3b,2024-09-30,2024Q3,confluent health,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager,"Confluent Health, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Confluent Health, LLC, First lien - Funded""]",1,2024-10-30T16:35:00Z,"Confluent Health, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Confluent Health, LLC, First lien - Funded""]",1,2024-07-31T17:12:00Z,"Confluent Health, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,"[""Confluent Health, LLC, First lien senior secured loan""]",1,2024-08-07T16:28:00Z,EVID_ac320119d930d7fa141165ffcb17,EVID_9567e93f108d0706d1b91e4de66e,EVID_5abda4a0e6c1ce66c23c2f368c63,2024-10-30T20:14:36Z,2024-10-30T16:35:00Z,2024-10-30T20:14:36Z,2024-07-31T21:02:57Z,2024-08-07T20:16:31Z,2024-11-06T21:06:55Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_aedbd98efd6d437be88c6365e02e,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_4f6588b28ad1a307964798f7ee7e,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
D4R_30ed528dd88c7b13eb5023e1,D4C_c0f70d021fecb6ca1d12e263,2024-09-30,2024Q3,realpage,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager,"RealPage, Inc., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""RealPage, Inc., Second lien senior secured loan""]",1,2024-10-29T20:56:00Z,"RealPage, Inc., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""RealPage, Inc., Second lien senior secured loan""]",1,2024-07-29T21:10:00Z,"REALPAGE, INC., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,,"[""REALPAGE, INC., Second lien senior secured loan""]",1,2024-08-07T16:28:00Z,EVID_c471c1b7f91cafbc21100b214643,EVID_ea761b48b2c1860551950a95a061,EVID_1abab95be3504ed66ea83edfcad4,2024-10-29T20:49:55Z,2024-10-29T20:56:00Z,2024-10-29T20:56:00Z,2024-07-29T21:10:00Z,2024-08-07T20:16:31Z,2024-11-06T21:06:55Z,SOI acceptance; no earlier exact facility mark verified in EX-99,EVID_092c798862a2d1a01a62bcb9c348,Timing verified against locked source reporting and facility-publication records; navigable evidence withheld from clean reviewers.,EVID_4f6588b28ad1a307964798f7ee7e,Cutoff verified against the locked target reporting-order record; navigable evidence withheld from clean reviewers.,,,,,,
