review_observation_id,source_event_cluster_id,period_end,report_period_label,normalized_borrower,source_ticker,target_ticker,source_manager,target_manager,manager_relationship
D4R_028c15dec94cf5c22ab6c5d8,D4C_fc49f8fdbe4691bf868cd29f,2024-09-30,2024Q3,asurion,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager
D4R_046729c04cd85bad77f0e986,D4C_8c98b5883e8bbdde26bf5240,2024-03-31,2024Q1,realpage,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager
D4R_050d9952c90eef752ebed47c,D4C_510f33a4eae2b40af398912b,2024-06-30,2024Q2,pluralsight,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager
D4R_0b4a0e10f02e2742cd04854e,D4C_92d72f298af2d6b7ed4efb32,2025-03-31,2025Q1,forescout technologies,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager
D4R_21c096069e35b49db469c480,D4C_eb6f8f4c18848dc686d23284,2024-06-30,2024Q2,confluent health,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager
D4R_26c3db52d7ddff45d7602bfa,D4C_5ab47a588b6b9c56bee69906,2024-03-31,2024Q1,physician partners,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager
D4R_2c41a2784f9e7481c762adab,D4C_838b5fc640471bf1cf299f0d,2024-06-30,2024Q2,dealer tire financial,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager
D4R_3070014a3ffa405cf7447809,D4C_6d35b374372a09cc8ed21d3b,2024-09-30,2024Q3,confluent health,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager
D4R_30ed528dd88c7b13eb5023e1,D4C_c0f70d021fecb6ca1d12e263,2024-09-30,2024Q3,realpage,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager
D4R_44182bb1be3a426d5b0ad4b6,D4C_05f7b9915aace57c227c2759,2024-09-30,2024Q3,bw,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager
D4R_471ad39ad464824a5083dcec,D4C_73c5d7239c7547b083e185eb,2024-03-31,2024Q1,imprivata,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager
D4R_5cf37f37d8cc75658fecf0cd,D4C_2f148f8a7178279f44b55e68,2024-09-30,2024Q3,realpage,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager
D4R_63b2a05cc278206fb1ea62f5,D4C_de4b0b522f99cae982e64890,2024-12-31,2024Q4,physician partners,OBDC,NMFC,Blue Owl Credit,New Mountain Capital,cross_manager
D4R_6ee2291c04b00d1b22b7b267,D4C_4a7fcd14285a77567413401c,2024-09-30,2024Q3,icefall parent,ARCC,NMFC,Ares Management,New Mountain Capital,cross_manager
D4R_727e71576f0adc597105703e,D4C_882104d237f3d6dd3c7b3486,2024-03-31,2024Q1,confluent health,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager
D4R_7670a049ffc59284be623965,D4C_12345993a9ab095734458c90,2024-06-30,2024Q2,athenahealth,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager
D4R_76b859d80360a81d9d5c270a,D4C_a1017863b41dfa6536a58b29,2024-03-31,2024Q1,confluent medical technologies,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager
D4R_777e7c967340248687097994,D4C_f1fa67b3c71fc9ca511097e7,2025-03-31,2025Q1,associations,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager
D4R_89011b3c621fd1f9e6856963,D4C_6f17e958867337e7b952aecb,2025-06-30,2025Q2,forescout technologies,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager
D4R_92c14af825841f163b269f1a,D4C_d8e62707d06fcd67ca0d7e7d,2024-06-30,2024Q2,community brands parentco,ARCC,NMFC,Ares Management,New Mountain Capital,cross_manager
D4R_94d631ce61b94754d8e2e7ac,D4C_430edc2d182c7ce0d6e2ca71,2024-03-31,2024Q1,community brands parentco,ARCC,NMFC,Ares Management,New Mountain Capital,cross_manager
