review_observation_id,source_event_cluster_id,normalized_borrower,source_ticker,target_ticker,target_prior_identifier,target_prior_facility_type,target_prior_lien,target_prior_currency,target_prior_reference_rate,target_prior_spread,target_prior_maturity,target_prior_funded_status,target_prior_constituent_descriptions,target_prior_aggregation_lot_count,target_prior_evidence_id,target_current_identifier,target_current_facility_type,target_current_lien,target_current_currency,target_current_reference_rate,target_current_spread,target_current_maturity,target_current_funded_status,target_current_constituent_descriptions,target_current_aggregation_lot_count,target_current_evidence_id,target_current_same_facility,target_current_aggregation_valid,position_status,structural_notes
D4R_028c15dec94cf5c22ab6c5d8,D4C_fc49f8fdbe4691bf868cd29f,asurion,NMFC,OBDC,"Asurion, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0425,,funded,"[""Asurion, LLC, First lien senior secured loan""]",1,EVID_8f57fe8e6a954b4d9e6bffc0a68c,"Asurion, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0425,,funded,"[""Asurion, LLC, First lien senior secured loan""]",1,D4SE_63c2e4117d55fcee4edfbdc0,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.0425 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.0425, and lot count 1 are aligned."
D4R_046729c04cd85bad77f0e986,D4C_8c98b5883e8bbdde26bf5240,realpage,ARCC,OBDC,"REALPAGE, INC., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,"[""REALPAGE, INC., Second lien senior secured loan""]",1,EVID_8625cf2e6a0b7963c4807e9a26c5,"REALPAGE, INC., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,"[""REALPAGE, INC., Second lien senior secured loan""]",1,D4SE_8fe712ab8e413e46e278f458,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, second_lien, other_debt type, 0.065 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. The explicit second-lien tranche wording is a discriminator beyond the borrower name. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien second_lien, funded status funded, spread 0.065, and lot count 1 are aligned."
D4R_050d9952c90eef752ebed47c,D4C_510f33a4eae2b40af398912b,pluralsight,ARCC,OBDC,"Pluralsight, LLC, First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,"[""Pluralsight, LLC, First lien senior secured revolving loan""]",1,EVID_90fcd1d249dea8acfd46abd9b348,"Pluralsight, LLC, First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,"[""Pluralsight, LLC, First lien senior secured revolving loan""]",1,D4SE_3cbbd6a852f39901d3937dd0,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, revolver facility type, 0.08 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. The revolver type separates this row from the borrower's term facilities elsewhere in the packet. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match; facility type revolver, lien first_lien, funded status funded, spread 0.08, and lot count 1 are aligned."
D4R_0b4a0e10f02e2742cd04854e,D4C_92d72f298af2d6b7ed4efb32,forescout technologies,ARCC,OBDC,"Forescout Technologies, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,"[""Forescout Technologies, Inc., First lien senior secured loan""]",1,EVID_221fe75d6a6364177fab5e191c0f,"Forescout Technologies, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,"[""Forescout Technologies, Inc., First lien senior secured loan""]",1,D4SE_43ee5d0ad22953f8e04990b3,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.05 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.05, and lot count 1 are aligned."
D4R_21c096069e35b49db469c480,D4C_eb6f8f4c18848dc686d23284,confluent health,NMFC,OBDC,"Confluent Health, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,"[""Confluent Health, LLC, First lien senior secured loan""]",1,EVID_6a19df082f83a256a3edb306f362,"Confluent Health, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,"[""Confluent Health, LLC, First lien senior secured loan""]",1,D4SE_2ab97a7cb74947b2a57654d2,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.04 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.04, and lot count 1 are aligned."
D4R_26c3db52d7ddff45d7602bfa,D4C_5ab47a588b6b9c56bee69906,physician partners,NMFC,OBDC,"Physician Partners, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,"[""Physician Partners, LLC, First lien senior secured loan""]",1,EVID_dc1b705d57d47001df95546df877,"Physician Partners, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,"[""Physician Partners, LLC, First lien senior secured loan""]",1,D4SE_6541f481c24618b52de10112,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.04 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.04, and lot count 1 are aligned."
D4R_2c41a2784f9e7481c762adab,D4C_838b5fc640471bf1cf299f0d,dealer tire financial,NMFC,OBDC,"Dealer Tire Financial, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,"[""Dealer Tire Financial, LLC, First lien senior secured loan""]",1,EVID_88a1bcc66efa26919fedc23814cb,"Dealer Tire Financial, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.035,,funded,"[""Dealer Tire Financial, LLC, First lien senior secured loan""]",1,D4SE_e5dc2bbec58e420578f6b4dd,yes,yes,continuing,"Reviewer D: Identifier wording, other_debt type, first_lien, funded status and the single constituent lot are unchanged; the only displayed movement is the spread from 0.0375 to 0.035. A 25 bp decrease with no change of facility type, lien, funded status or tranche wording reads as ordinary repricing rather than a structurally identifiable successor facility, so continuity is retained. Maturity is blank on both sides and therefore could not corroborate or exclude an amendment; that limitation is flagged for adjudication. | Reviewer E: Prior/current identifier, other_debt type, first_lien, funded status, and 1-lot constituent description match; spread changes from 0.0375 to 0.035, consistent with repricing."
D4R_3070014a3ffa405cf7447809,D4C_6d35b374372a09cc8ed21d3b,confluent health,NMFC,OBDC,"Confluent Health, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,"[""Confluent Health, LLC, First lien senior secured loan""]",1,EVID_5abda4a0e6c1ce66c23c2f368c63,"Confluent Health, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,"[""Confluent Health, LLC, First lien senior secured loan""]",1,D4SE_c1aa04b5b65cd76ed864390d,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.04 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.04, and lot count 1 are aligned."
D4R_30ed528dd88c7b13eb5023e1,D4C_c0f70d021fecb6ca1d12e263,realpage,ARCC,OBDC,"REALPAGE, INC., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,"[""REALPAGE, INC., Second lien senior secured loan""]",1,EVID_1abab95be3504ed66ea83edfcad4,"RealPage, Inc., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,"[""RealPage, Inc., Second lien senior secured loan""]",1,D4SE_6bc8431f0c39235f2e0f1e42,yes,yes,continuing,"Reviewer D: Prior 'REALPAGE, INC.' and current 'RealPage, Inc.' differ only in letter case; second_lien, other_debt type, funded status, 0.065 spread and the single constituent lot are identical, so the difference is disclosure formatting rather than a tranche change. Currency, reference rate and maturity are unavailable on both sides and were not relied on. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match apart from capitalization or punctuation; facility type other_debt, lien second_lien, funded status funded, spread 0.065, and lot count 1 are aligned."
D4R_44182bb1be3a426d5b0ad4b6,D4C_05f7b9915aace57c227c2759,bw,NMFC,OBDC,"BW Holding, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,"[""BW Holding, Inc., First lien senior secured loan""]",1,EVID_49182ea62b84f5668db132e5a7b2,"BW Holding, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,"[""BW Holding, Inc., First lien senior secured loan""]",1,D4SE_c9e49f44595835fc58453130,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.04 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.04, and lot count 1 are aligned."
