review_observation_id,source_event_cluster_id,borrower_norm,report_period_label,source_ticker,target_ticker,reporting_window_days,target_prior_mark,source_prior_mark,source_current_mark,target_current_mark,target_current_same_facility,target_current_aggregation_valid,position_status
D4R_028c15dec94cf5c22ab6c5d8,D4C_fc49f8fdbe4691bf868cd29f,asurion,2024Q3,NMFC,OBDC,7.036331,0.99144426,0.9946822422,0.9866719105,0.984124952,yes,yes,continuing
D4R_046729c04cd85bad77f0e986,D4C_8c98b5883e8bbdde26bf5240,realpage,2024Q1,ARCC,OBDC,7.937685,0.997478334,1,0.9797859691,0.9891884058,yes,yes,continuing
D4R_050d9952c90eef752ebed47c,D4C_510f33a4eae2b40af398912b,pluralsight,2024Q2,ARCC,OBDC,8.962859,0.8349639134,1,0.3333333333,0.4700882117,yes,yes,continuing
D4R_0b4a0e10f02e2742cd04854e,D4C_92d72f298af2d6b7ed4efb32,forescout technologies,2025Q1,ARCC,OBDC,8.934248,0.9950000631,0.9852941176,1,0.9950031807,yes,yes,continuing
D4R_21c096069e35b49db469c480,D4C_eb6f8f4c18848dc686d23284,confluent health,2024Q2,NMFC,OBDC,6.967755,0.9849522877,0.9900674433,0.9749815589,0.9750173774,yes,yes,continuing
D4R_26c3db52d7ddff45d7602bfa,D4C_5ab47a588b6b9c56bee69906,physician partners,2024Q1,NMFC,OBDC,6.964711,0.9424936387,0.9478998384,0.7525981914,0.7413265306,yes,yes,continuing
D4R_2c41a2784f9e7481c762adab,D4C_838b5fc640471bf1cf299f0d,dealer tire financial,2024Q2,NMFC,OBDC,6.967755,1.0050047431,1.0087401301,1.0003806986,0.9974749959,yes,yes,continuing
D4R_3070014a3ffa405cf7447809,D4C_6d35b374372a09cc8ed21d3b,confluent health,2024Q3,NMFC,OBDC,7.036331,0.9750173774,0.9749815589,0.9800308166,0.9800344375,yes,yes,continuing
D4R_30ed528dd88c7b13eb5023e1,D4C_c0f70d021fecb6ca1d12e263,realpage,2024Q3,ARCC,OBDC,8.007581,0.9724927536,0.9845422117,0.9571938169,0.9577971014,yes,yes,continuing
D4R_44182bb1be3a426d5b0ad4b6,D4C_05f7b9915aace57c227c2759,bw,2024Q3,NMFC,OBDC,7.036331,0.9138137994,0.9094134836,0.9244611843,0.915374988,yes,yes,continuing
D4R_471ad39ad464824a5083dcec,D4C_73c5d7239c7547b083e185eb,imprivata,2024Q1,ARCC,OBDC,7.937685,1,0.9813664596,1,1,yes,yes,continuing
D4R_5cf37f37d8cc75658fecf0cd,D4C_2f148f8a7178279f44b55e68,realpage,2024Q3,NMFC,OBDC,7.036331,0.9724927536,0.9774870485,0.9643564829,0.9577971014,yes,yes,continuing
D4R_63b2a05cc278206fb1ea62f5,D4C_de4b0b522f99cae982e64890,physician partners,2024Q4,OBDC,NMFC,7.203229,0.6519262073,0.7124102564,0.6649871465,0.4215966272,yes,yes,continuing
D4R_6ee2291c04b00d1b22b7b267,D4C_4a7fcd14285a77567413401c,icefall parent,2024Q3,ARCC,NMFC,0.971250,1,0.9820359281,1,1,yes,yes,continuing
D4R_727e71576f0adc597105703e,D4C_882104d237f3d6dd3c7b3486,confluent health,2024Q1,NMFC,OBDC,6.964711,0.980029285,0.9825565549,0.9900674433,0.9849522877,yes,yes,continuing
D4R_7670a049ffc59284be623965,D4C_12345993a9ab095734458c90,athenahealth,2024Q2,NMFC,OBDC,6.967755,0.9892110972,0.9918407311,0.997818737,0.9955932009,yes,yes,continuing
