review_observation_id,source_event_cluster_id,borrower_norm,report_period_label,source_ticker,target_ticker,reporting_window_days,target_prior_mark,source_prior_mark,source_current_mark,target_current_mark,target_current_same_facility,target_current_aggregation_valid,position_status
D5EV_d57ac7fd49b33f3394c88abc,D5EC_8c85826ce74d7f7af8420baf,allen media,2024Q1,OFS,CION,6.789873,0.9675102599,0.8916599625,0.876344086,,uncertain,uncertain,unmatched_disappearance
D5EV_f2bba31f83c7353b48576093,D5EC_d14c24de438d18275de4f4c3,community brands parentco,2024Q1,NMFC,OTF,9.170833,0.9900215534,0.9729234241,0.981620246,0.9924769908,yes,yes,continuing
D5EV_7c83982d1c79c64ac8affcb2,D5EC_b94b2012498895e5f2f778fd,greenway health,2024Q1,NMFC,OTF,9.170833,0.9700605645,0.9850370137,1,0.9774882871,yes,yes,continuing
D5EV_0473fd1e79b97a345afb4fa5,D5EC_4ba8b635e3a54b1f5a5abab1,hyland software,2024Q1,ARCC,OTF,9.981944,0.9850035512,0.9856410256,1,0.9849894366,yes,yes,continuing
D5EV_8ecf2aee1046f6fd7cced1b0,D5EC_9f9ebd17f4ff9e58c37206f4,hyland software,2024Q1,ASIF,OTF,0.210417,0.9850035512,0.9849981797,1,0.9849894366,yes,yes,continuing
D5EV_6d74b1708e4e037b70790a05,D5EC_2826bf36875c4239e1d0b93a,jp intermediate b,2024Q1,OFS,CION,6.789873,0.7824971904,0.7170534384,0.731956568,,uncertain,uncertain,unmatched_disappearance
D5EV_0bf02eb5470056c7faa366b3,D5EC_c81aa886820df53368cc5bfd,opco borrower,2024Q1,CION,CSWC,6.087963,1,0.94504,1.03,1,yes,yes,continuing
D5EV_e669e9146b91bd3683498ae2,D5EC_3ba60992f749801e08ded97d,realpage,2024Q1,ASIF,OTF,0.210417,0.9975047619,1,0.98,0.9892,yes,yes,continuing
D5EV_56f5e033119fc6f7710f17e4,D5EC_c01d8f9d2b4b0baaacbaae48,snap fitness a stock,2024Q1,WHF,CION,1.204456,,65,83.5,,uncertain,uncertain,unmatched_disappearance
D5EV_63ea16f00e9832bb6f6890a7,D5EC_1536e72484b100d474c9c517,statinmed,2024Q1,CION,CSWC,6.087963,0.8107142857,0.9700318412,0.9549923334,0.65,yes,yes,continuing
D5EV_569cd152db6e30a43d2ab998,D5EC_8697acaad0cd9c0c406dd8dc,allen media,2024Q2,OFS,CION,6.789826,0.9550805806,0.876344086,0.7544474394,,uncertain,uncertain,unmatched_disappearance
D5EV_deab4cbeab2e294dcf2d44e2,D5EC_f36d7a6823f20664245db17b,community brands parentco,2024Q2,NMFC,OTF,9.122894,0.9924769908,0.981620246,1,1,yes,yes,continuing
D5EV_7b9a3eb8893e474f29a2a17c,D5EC_be5f932c2c95a41f48c0c341,inw manufacturing,2024Q2,CSWC,CION,1.848854,0.9237714286,0.8004761905,0.8400966184,,uncertain,uncertain,unmatched_disappearance
D5EV_4e71db62dd760aa9577c481e,D5EC_7c9e8a416e6aac97106a086e,lift brands a,2024Q2,CSWC,WHF,1.809375,1,0.9800163132,0.9901840491,1,yes,yes,continuing
D5EV_5e8755cc94dc4d48778758fd,D5EC_91c4bd3c4b21578fef61cf44,lift brands b,2024Q2,CSWC,WHF,1.809375,1,0.9092284418,0.9394387001,1,yes,yes,continuing
D5EV_0e8e49fa34bce6522ebdf311,D5EC_ee20e041c64ff093603d0786,petvet care centers,2024Q2,ARCC,OTF,10.957616,0.99499387,0.9803625378,0.9500378501,0.9849951349,yes,yes,continuing
D5EV_210d833e27e3a4b2bc514032,D5EC_abc2fffd1932452d417bdd7c,statinmed,2024Q2,CSWC,CION,1.848854,0.9549923334,0.65,0.2,,uncertain,uncertain,unmatched_disappearance
D5EV_84d045c1c425e93bbf4e15ca,D5EC_e4360b224ff42b11714a8d09,allen media,2024Q3,OFS,CION,6.831678,0.9424773691,0.7544474394,0.6554054054,,uncertain,uncertain,unmatched_disappearance
D5EV_528e28cd9f932f606a886dfc,D5EC_02533430c56efca24fe1b5ab,isagenix international,2024Q3,CSWC,CION,8.883067,0.98125,0.8797297297,0.2747688243,,uncertain,uncertain,unmatched_disappearance
D5EV_96fd27c17c4971c1b3c580e0,D5EC_418b1e0127c211fda3c9630e,jp intermediate b,2024Q3,OFS,CION,6.831678,0.8187488238,0.7366404088,0.5153083226,,uncertain,uncertain,unmatched_disappearance
D5EV_8db09e90c91ed9cfa2d63914,D5EC_f7de0219c42bf43e6527653a,nellson nutraceutical,2024Q3,OBDC,MSDL,1.2514,1,0.9849735285,0.9900148217,1,yes,yes,continuing
D5EV_223148adf3c57f1ce429ef5e,D5EC_5f513e79f9d4babae29dba44,petvet care centers,2024Q3,ARCC,OTF,15.005567,0.9849951349,0.9500378501,0.940060698,0.9800030804,yes,yes,continuing
D5EV_2c8443f93602d23959d6c67a,D5EC_6176c448c6117d8dfcaf88f3,pye barker fire and safety,2024Q3,ASIF,OTF,5.200706,0.9949780733,1,0.9938510654,0.9949780733,yes,yes,continuing
D5EV_5faab35be7673c082434fcab,D5EC_2e10a4a2316e3730d442caa9,realpage,2024Q3,ASIF,OTF,5.200706,0.9724952381,0.9849991445,0.9577794023,0.9578095238,yes,yes,continuing
D5EV_40fd3f8ad25d3a39cff86129,D5EC_f24adc0d35cc52cf771e6cde,realpage,2024Q3,CIK1766037,OTF,0.280567,0.9724952381,0.9774730656,0.964337155,0.9578095238,yes,yes,continuing
D5EV_79ecfa2da80651a349e27709,D5EC_0eebbe29e45a8e1feabfcba9,realpage,2024Q3,CIK1781870,OTF,1.240289,0.9724952381,0.9774577332,0.9643080776,0.9578095238,yes,yes,continuing
D5EV_0e7d36c356bb8ba344365cda,D5EC_86b28a4bd2517beeb7bb3146,realpage,2024Q3,CIK1925531,OTF,0.274317,0.9724952381,0.9775391499,0.9642984968,0.9578095238,yes,yes,continuing
D5EV_291a2a8e8508e0808d00ab51,D5EC_c9c324cc68aa6adbc418e529,realpage,2024Q3,CIK1976719,OTF,1.242373,0.9724952381,0.9774506733,0.9642968995,0.9578095238,yes,yes,continuing
D5EV_29193e8c4ade8d5fc4130f10,D5EC_ca768146091f11f0764109f7,snap fitness a stock,2024Q3,WHF,CION,0.249734,,83.5,47.5,,uncertain,uncertain,unmatched_disappearance
