review_observation_id,source_event_cluster_id,period_end,report_period_label,normalized_borrower,source_ticker,target_ticker,source_manager,target_manager,manager_relationship,overlap_day4_borrower,overlap_development_borrower,pre_review_layer,event_review_consensus
D5EV_d57ac7fd49b33f3394c88abc,D5EC_8c85826ce74d7f7af8420baf,2024-03-31,2024Q1,allen media,OFS,CION,OFS Capital Management,CION Investment Management,cross_manager,False,False,strict,yes
D5EV_6d74b1708e4e037b70790a05,D5EC_2826bf36875c4239e1d0b93a,2024-03-31,2024Q1,jp intermediate b,OFS,CION,OFS Capital Management,CION Investment Management,cross_manager,False,False,strict,yes
D5EV_0bf02eb5470056c7faa366b3,D5EC_c81aa886820df53368cc5bfd,2024-03-31,2024Q1,opco borrower,CION,CSWC,CION Investment Management,Capital Southwest,cross_manager,False,False,strict,yes
D5EV_56f5e033119fc6f7710f17e4,D5EC_c01d8f9d2b4b0baaacbaae48,2024-03-31,2024Q1,snap fitness a stock,WHF,CION,H.I.G. WhiteHorse,CION Investment Management,cross_manager,False,False,strict,yes
D5EV_63ea16f00e9832bb6f6890a7,D5EC_1536e72484b100d474c9c517,2024-03-31,2024Q1,statinmed,CION,CSWC,CION Investment Management,Capital Southwest,cross_manager,False,False,strict,yes
D5EV_569cd152db6e30a43d2ab998,D5EC_8697acaad0cd9c0c406dd8dc,2024-06-30,2024Q2,allen media,OFS,CION,OFS Capital Management,CION Investment Management,cross_manager,False,False,strict,yes
D5EV_7b9a3eb8893e474f29a2a17c,D5EC_be5f932c2c95a41f48c0c341,2024-06-30,2024Q2,inw manufacturing,CSWC,CION,Capital Southwest,CION Investment Management,cross_manager,False,False,strict,yes
D5EV_4e71db62dd760aa9577c481e,D5EC_7c9e8a416e6aac97106a086e,2024-06-30,2024Q2,lift brands a,CSWC,WHF,Capital Southwest,H.I.G. WhiteHorse,cross_manager,False,False,strict,yes
D5EV_5e8755cc94dc4d48778758fd,D5EC_91c4bd3c4b21578fef61cf44,2024-06-30,2024Q2,lift brands b,CSWC,WHF,Capital Southwest,H.I.G. WhiteHorse,cross_manager,False,False,strict,yes
D5EV_210d833e27e3a4b2bc514032,D5EC_abc2fffd1932452d417bdd7c,2024-06-30,2024Q2,statinmed,CSWC,CION,Capital Southwest,CION Investment Management,cross_manager,False,False,strict,yes
D5EV_84d045c1c425e93bbf4e15ca,D5EC_e4360b224ff42b11714a8d09,2024-09-30,2024Q3,allen media,OFS,CION,OFS Capital Management,CION Investment Management,cross_manager,False,False,strict,yes
D5EV_528e28cd9f932f606a886dfc,D5EC_02533430c56efca24fe1b5ab,2024-09-30,2024Q3,isagenix international,CSWC,CION,Capital Southwest,CION Investment Management,cross_manager,False,False,strict,yes
D5EV_96fd27c17c4971c1b3c580e0,D5EC_418b1e0127c211fda3c9630e,2024-09-30,2024Q3,jp intermediate b,OFS,CION,OFS Capital Management,CION Investment Management,cross_manager,False,False,strict,yes
D5EV_29193e8c4ade8d5fc4130f10,D5EC_ca768146091f11f0764109f7,2024-09-30,2024Q3,snap fitness a stock,WHF,CION,H.I.G. WhiteHorse,CION Investment Management,cross_manager,False,False,strict,yes
D5EV_81b0639ef3a5df20b12adab1,D5EC_602c8530d231f9fba9925f00,2024-09-30,2024Q3,triplepoint acquisition,WHF,SCM,H.I.G. WhiteHorse,Stellus Capital Management,cross_manager,False,False,strict,yes
D5EV_f1023e56f9a8a7322097c229,D5EC_9c901a90cb41a1d677b6d1af,2024-12-31,2024Q4,allen media,OFS,CION,OFS Capital Management,CION Investment Management,cross_manager,False,False,strict,yes
D5EV_b49ae18bce39e03f3ab75565,D5EC_cdef9e7b676f0779d305b4e7,2024-12-31,2024Q4,finastra usa,CIK1872371,OTF,Oaktree Capital Management,Blue Owl Credit,cross_manager,False,False,strict,yes
D5EV_44167ecf393fca0a38b730cc,D5EC_482fd8bfe4a7eea7821e6620,2024-12-31,2024Q4,inw manufacturing,CSWC,CION,Capital Southwest,CION Investment Management,cross_manager,False,False,strict,yes
D5EV_8d88b8aad171e0558438e1d7,D5EC_c63a45369ececb32ef550d49,2024-12-31,2024Q4,isagenix international,CSWC,CION,Capital Southwest,CION Investment Management,cross_manager,False,False,strict,yes
D5EV_0886264549f8d1edc918c351,D5EC_13a13ce210b39f91047226c1,2024-12-31,2024Q4,lab logistics,CSWC,WHF,Capital Southwest,H.I.G. WhiteHorse,cross_manager,False,False,strict,yes
D5EV_12cdbe603d26ce6ee557c68c,D5EC_d5cf15b8c686ce3e7be12091,2024-12-31,2024Q4,lift brands a,CSWC,WHF,Capital Southwest,H.I.G. WhiteHorse,cross_manager,False,False,strict,yes
D5EV_ae9fddd6692c2d1fb78938ed,D5EC_ecb3c214ed5d800666f30c39,2024-12-31,2024Q4,lift brands b,CSWC,WHF,Capital Southwest,H.I.G. WhiteHorse,cross_manager,False,False,strict,yes
D5EV_87a178fe2605a2efcf55fba1,D5EC_4bd5456c38911048cbe47633,2024-12-31,2024Q4,triplepoint acquisition,CIK1901037,WHF,Stellus Capital Management,H.I.G. WhiteHorse,cross_manager,False,False,strict,yes
D5EV_d41ba6669cd8282839502643,D5EC_64cedc5a52b94ccefb424b21,2024-12-31,2024Q4,triplepoint acquisition,SCM,WHF,Stellus Capital Management,H.I.G. WhiteHorse,cross_manager,False,False,strict,yes
D5EV_6a4eed319e9f8fe7f99747fa,D5EC_f91d1d5046f1b999a4a753fd,2025-03-31,2025Q1,idera,OFS,MSDL,OFS Capital Management,Morgan Stanley Investment Management,cross_manager,False,False,strict,yes
D5EV_0c52b634a145a52d3e9d6a2d,D5EC_fc24da716cf2426943bc3444,2025-03-31,2025Q1,jp intermediate b,OFS,CION,OFS Capital Management,CION Investment Management,cross_manager,False,False,strict,yes
D5EV_31b1d7de3c01a293b4a24e0c,D5EC_31431d4a01059178e2751dae,2025-03-31,2025Q1,perkinelmer u s,CIK1869453,MSDL,Blue Owl Credit,Morgan Stanley Investment Management,cross_manager,False,False,strict,yes
D5EV_aebedff93315b84fc959cf91,D5EC_03d91dcc4a10080388206fcb,2025-06-30,2025Q2,allen media,OFS,CION,OFS Capital Management,CION Investment Management,cross_manager,False,False,strict,yes
D5EV_dc436360ecc599e08c348c0e,D5EC_065bc29e31be5b5c0cd4e675,2025-06-30,2025Q2,jp intermediate b,OFS,CION,OFS Capital Management,CION Investment Management,cross_manager,False,False,strict,yes
D5EV_4bcc43807ee299de5de2ca0a,D5EC_bdf50a40b8d90ef96b681429,2026-03-31,2026Q1,real chemistry intermediate iii,NCDL,BBDC,Nuveen Churchill,Barings,cross_manager,False,False,strict,yes
D5EV_f438ca82f7a27e794a1837a9,D5EC_03ea18827a74bda0ec1f74a2,2026-03-31,2026Q1,swoop intermediate iii,NCDL,BBDC,Nuveen Churchill,Barings,cross_manager,False,False,strict,yes
