review_observation_id,source_event_cluster_id,normalized_borrower,source_ticker,target_ticker,target_prior_identifier,target_prior_facility_type,target_prior_lien,target_prior_currency,target_prior_reference_rate,target_prior_spread,target_prior_maturity,target_prior_funded_status,target_prior_constituent_descriptions,target_prior_aggregation_lot_count,target_prior_evidence_id,target_current_identifier,target_current_facility_type,target_current_lien,target_current_currency,target_current_reference_rate,target_current_spread,target_current_maturity,target_current_funded_status,target_current_constituent_descriptions,target_current_aggregation_lot_count,target_current_evidence_id,target_current_same_facility,target_current_aggregation_valid,position_status,structural_notes
D5EV_d57ac7fd49b33f3394c88abc,D5EC_8c85826ce74d7f7af8420baf,allen media,OFS,CION,"Allen Media, LLC, Senior Secured First Lien Debt, 2/10/2027 Maturity",other_debt,first_lien,UNKNOWN,UNKNOWN,0.055,,funded,"[""Allen Media, LLC, Senior Secured First Lien Debt, 2/10/2027 Maturity""]",1,EVID_4df8900c188f7ec5caecab0e3ede,,,,,,,,,[],,,uncertain,uncertain,unmatched_disappearance,"Reviewer I: No target-current candidate displayed: current identifier, facility type, lien, currency, reference rate, spread, maturity, funded status, constituent descriptions and aggregation lot count are all blank. Target-prior shows 'Allen Media, LLC, Senior Secured First Lien Debt, 2/10/2027 Maturity' (other_debt, first_lien, currency UNKNOWN, reference rate UNKNOWN, spread 0.055, maturity blank, funded, 1 lot). Blank current side is missing evidence, not proof of difference, so same-facility and aggregation cannot be judged; displayed structure does not distinguish repayment, sale or amendment, so the position is recorded only as unmatched. | Reviewer J: No current candidate or constituents are displayed for the prior funded first-lien other-debt; displayed fields cannot distinguish repayment from sale."
D5EV_f2bba31f83c7353b48576093,D5EC_d14c24de438d18275de4f4c3,community brands parentco,NMFC,OTF,"Community Brands ParentCo, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.055,,funded,"[""Community Brands ParentCo, LLC, First lien senior secured loan""]",1,EVID_0790a05193f3a0a13cd46584e6ca,"Community Brands ParentCo, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.055,,funded,"[""Community Brands ParentCo, LLC, First lien senior secured loan""]",1,D5SE_83910bc17c3f9757cb7ac5f4,yes,yes,continuing,"Reviewer I: Target-prior and target-current identifiers are identical ('Community Brands ParentCo, LLC, First lien senior secured loan'); facility type other_debt, lien first_lien, currency UNKNOWN, reference rate UNKNOWN, spread 0.055, maturity blank and funded status funded agree on both sides; 1 aggregation lot on each side with identical constituent description. No displayed structural conflict in debt form, lien, currency or funded status. | Reviewer J: Prior/current identifier, other-debt type, first-lien, spread 0.055, funded status, and one-lot constituent descriptions match. currency, reference rate, and maturity are not displayed."
D5EV_7c83982d1c79c64ac8affcb2,D5EC_b94b2012498895e5f2f778fd,greenway health,NMFC,OTF,"Greenway Health, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0675,,funded,"[""Greenway Health, LLC, First lien senior secured loan""]",1,EVID_d4237aa8328887281be66fa20df2,"Greenway Health, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0675,,funded,"[""Greenway Health, LLC, First lien senior secured loan""]",1,D5SE_3c7cd0c3f5cccc88711e5e30,yes,yes,continuing,"Reviewer I: Target-prior and target-current identifiers are identical ('Greenway Health, LLC, First lien senior secured loan'); facility type other_debt, lien first_lien, currency UNKNOWN, reference rate UNKNOWN, spread 0.0675, maturity blank and funded status funded agree on both sides; 1 aggregation lot on each side with identical constituent description. No displayed structural conflict in debt form, lien, currency or funded status. | Reviewer J: Prior/current identifier, other-debt type, first-lien, spread 0.0675, funded status, and one-lot constituent descriptions match. currency, reference rate, and maturity are not displayed."
D5EV_0473fd1e79b97a345afb4fa5,D5EC_4ba8b635e3a54b1f5a5abab1,hyland software,ARCC,OTF,"Hyland Software, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,"[""Hyland Software, Inc., First lien senior secured loan""]",1,EVID_af9b8e980e40d8f1983a70d6a591,"Hyland Software, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,"[""Hyland Software, Inc., First lien senior secured loan""]",1,D5SE_c1f2f486704742bedd2f6d6d,yes,yes,continuing,"Reviewer I: Target-prior and target-current identifiers are identical ('Hyland Software, Inc., First lien senior secured loan'); facility type other_debt, lien first_lien, currency UNKNOWN, reference rate UNKNOWN, spread 0.06, maturity blank and funded status funded agree on both sides; 1 aggregation lot on each side with identical constituent description. No displayed structural conflict in debt form, lien, currency or funded status. | Reviewer J: Prior/current identifier, other-debt type, first-lien, spread 0.06, funded status, and one-lot constituent descriptions match. currency, reference rate, and maturity are not displayed."
D5EV_8ecf2aee1046f6fd7cced1b0,D5EC_9f9ebd17f4ff9e58c37206f4,hyland software,ASIF,OTF,"Hyland Software, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,"[""Hyland Software, Inc., First lien senior secured loan""]",1,EVID_af9b8e980e40d8f1983a70d6a591,"Hyland Software, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,"[""Hyland Software, Inc., First lien senior secured loan""]",1,D5SE_0704be182cb5fb773aa4aa4d,yes,yes,continuing,"Reviewer I: Target-prior and target-current identifiers are identical ('Hyland Software, Inc., First lien senior secured loan'); facility type other_debt, lien first_lien, currency UNKNOWN, reference rate UNKNOWN, spread 0.06, maturity blank and funded status funded agree on both sides; 1 aggregation lot on each side with identical constituent description. No displayed structural conflict in debt form, lien, currency or funded status. | Reviewer J: Prior/current identifier, other-debt type, first-lien, spread 0.06, funded status, and one-lot constituent descriptions match. currency, reference rate, and maturity are not displayed."
D5EV_6d74b1708e4e037b70790a05,D5EC_2826bf36875c4239e1d0b93a,jp intermediate b,OFS,CION,"JP Intermediate B, LLC., Senior Secured First Lien Debt, 8/21/2027 Maturity",other_debt,first_lien,UNKNOWN,UNKNOWN,0.055,,funded,"[""JP Intermediate B, LLC., Senior Secured First Lien Debt, 8/21/2027 Maturity""]",1,EVID_67602974e293850f96b99a6b4ade,,,,,,,,,[],,,uncertain,uncertain,unmatched_disappearance,"Reviewer I: No target-current candidate displayed: current identifier, facility type, lien, currency, reference rate, spread, maturity, funded status, constituent descriptions and aggregation lot count are all blank. Target-prior shows 'JP Intermediate B, LLC., Senior Secured First Lien Debt, 8/21/2027 Maturity' (other_debt, first_lien, currency UNKNOWN, reference rate UNKNOWN, spread 0.055, maturity blank, funded, 1 lot). Blank current side is missing evidence, not proof of difference, so same-facility and aggregation cannot be judged; displayed structure does not distinguish repayment, sale or amendment, so the position is recorded only as unmatched. | Reviewer J: No current candidate or constituents are displayed for the prior funded first-lien other-debt; displayed fields cannot distinguish repayment from sale."
D5EV_0bf02eb5470056c7faa366b3,D5EC_c81aa886820df53368cc5bfd,opco borrower,CION,CSWC,"OPCO BORROWER, LLC, Second Lien",other_debt,second_lien,UNKNOWN,UNKNOWN,,,funded,"[""OPCO BORROWER, LLC, Second Lien""]",1,EVID_7f0fe2a4337f8ffa42c0636e6060,"OPCO BORROWER, LLC, Second Lien",other_debt,second_lien,UNKNOWN,UNKNOWN,,,funded,"[""OPCO BORROWER, LLC, Second Lien""]",1,D5SE_d0e3c69e6a989117674a4be6,yes,yes,continuing,"Reviewer I: Target-prior and target-current identifiers are identical ('OPCO BORROWER, LLC, Second Lien'); facility type other_debt, lien second_lien, currency UNKNOWN, reference rate UNKNOWN, spread blank, maturity blank and funded status funded agree on both sides; 1 aggregation lot on each side with identical constituent description. No displayed structural conflict in debt form, lien, currency or funded status. | Reviewer J: Prior/current identifier, other-debt type, second-lien, funded status, and one-lot constituent descriptions match. currency, reference rate, spread, and maturity are not displayed."
D5EV_e669e9146b91bd3683498ae2,D5EC_3ba60992f749801e08ded97d,realpage,ASIF,OTF,"REALPAGE, INC., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,"[""REALPAGE, INC., Second lien senior secured loan""]",1,EVID_a33742083f9b91c3523725531147,"REALPAGE, INC., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,"[""REALPAGE, INC., Second lien senior secured loan""]",1,D5SE_56e2f63bc2c938abb1b1a5c6,yes,yes,continuing,"Reviewer I: Target-prior and target-current identifiers are identical ('REALPAGE, INC., Second lien senior secured loan'); facility type other_debt, lien second_lien, currency UNKNOWN, reference rate UNKNOWN, spread 0.065, maturity blank and funded status funded agree on both sides; 1 aggregation lot on each side with identical constituent description. No displayed structural conflict in debt form, lien, currency or funded status. | Reviewer J: Prior/current identifier, other-debt type, second-lien, spread 0.065, funded status, and one-lot constituent descriptions match. currency, reference rate, and maturity are not displayed."
D5EV_56f5e033119fc6f7710f17e4,D5EC_c01d8f9d2b4b0baaacbaae48,snap fitness a stock,WHF,CION,"Snap Fitness Holdings, Inc., Class A Common Stock., Equity",common_equity,unknown,UNKNOWN,UNKNOWN,,,funded,"[""Snap Fitness Holdings, Inc., Class A Common Stock., Equity""]",1,EVID_4bef20f1c7dda79309f2644f75b4,,,,,,,,,[],,,uncertain,uncertain,unmatched_disappearance,"Reviewer I: No target-current candidate displayed: current identifier, facility type, lien, currency, reference rate, spread, maturity, funded status, constituent descriptions and aggregation lot count are all blank. Target-prior shows 'Snap Fitness Holdings, Inc., Class A Common Stock., Equity' (common_equity, unknown, currency UNKNOWN, reference rate UNKNOWN, spread blank, maturity blank, funded, 1 lot). Blank current side is missing evidence, not proof of difference, so same-facility and aggregation cannot be judged; displayed structure does not distinguish repayment, sale or amendment, so the position is recorded only as unmatched. | Reviewer J: No current candidate or constituents are displayed for the prior funded common-equity; displayed fields cannot distinguish repayment from sale."
D5EV_63ea16f00e9832bb6f6890a7,D5EC_1536e72484b100d474c9c517,statinmed,CION,CSWC,"STATINMED, LLC, First Lien",other_debt,first_lien,UNKNOWN,UNKNOWN,,,funded,"[""STATINMED, LLC, First Lien""]",1,EVID_a26e2cfabb373e219bdfb80cc844,"STATINMED, LLC, First Lien",other_debt,first_lien,UNKNOWN,UNKNOWN,,,funded,"[""STATINMED, LLC, First Lien""]",1,D5SE_80a9f14f785f359ae55398d3,yes,yes,continuing,"Reviewer I: Target-prior and target-current identifiers are identical ('STATINMED, LLC, First Lien'); facility type other_debt, lien first_lien, currency UNKNOWN, reference rate UNKNOWN, spread blank, maturity blank and funded status funded agree on both sides; 1 aggregation lot on each side with identical constituent description. No displayed structural conflict in debt form, lien, currency or funded status. | Reviewer J: Prior/current identifier, other-debt type, first-lien, funded status, and one-lot constituent descriptions match. currency, reference rate, spread, and maturity are not displayed."
