cik,fund_id,filer_name,verified_equity_ticker,verified_exchange,listing_status,verification_status,evidence_source,evidence_accession,evidence_statement,evidence_excerpt_sha256
17313,CSWC,CAPITAL SOUTHWEST CORP,CSWC,Nasdaq,verified_listed_equity,verified,https://www.sec.gov/Archives/edgar/data/17313/000001731326000035/cswc-20260331.htm,0000017313-26-000035,Official 10-K cover evidence links common stock ticker CSWC to Nasdaq.,4084d38de24ab4e491895269ca867451868c80e42723059c3ad278ab47387a5e
1143513,GLAD,GLADSTONE CAPITAL CORP,GLAD,Nasdaq,verified_listed_equity,verified,https://www.sec.gov/Archives/edgar/data/1143513/000114351325000015/glad-20250930.htm,0001143513-25-000015,Official 10-K cover evidence links common stock ticker GLAD to Nasdaq.,85a5fdaee98744f6520210d2e2f9d47d3ac9dd532df48e7c54620b32d0d8e25a
1321741,GAIN,GLADSTONE INVESTMENT CORPORATIONDE,GAIN,Nasdaq,verified_listed_equity,verified,https://www.sec.gov/Archives/edgar/data/1321741/000132174126000011/gain-20260331.htm,0001321741-26-000011,Official 10-K cover evidence links common stock ticker GAIN to Nasdaq.,747d6868357428019e3bf4efab0c63ac6309a428dc8258d7209b7753c7af8e9b
1370755,TCPC,BLACKROCK TCP CAPITAL CORP.,TCPC,Nasdaq,verified_listed_equity,verified,https://www.sec.gov/Archives/edgar/data/1370755/000119312526079299/tcpc-20251231.htm,0001193125-26-079299,Official 10-K cover evidence links common stock ticker TCPC to Nasdaq.,8632b0d97bcaba7b93a330b778e67d7a0e8c70ee3efd7e7ad57f4a2d0e84c2ca
1383414,PNNT,PENNANTPARK INVESTMENT CORP,PNNT,NYSE,verified_listed_equity,verified,https://www.sec.gov/Archives/edgar/data/1383414/000119312525293703/pnnt-20250930.htm,0001193125-25-293703,Official 10-K cover evidence links common stock ticker PNNT to NYSE.,de37f09bb6d09052ce9bdf5b39ebed4c1297046ae13f0c53c5f935da96b9b28c
1487918,OFS,OFS CAPITAL CORP,OFS,Nasdaq,verified_listed_equity,verified,https://www.sec.gov/Archives/edgar/data/1487918/000148791826000021/ofs-20251231.htm,0001487918-26-000021,Official 10-K cover evidence links common stock ticker OFS to Nasdaq.,44a0d24c5dbe7c2393a7e845c7ff461abdbbc6e2401001354eb55a26af16a319
1504619,PFLA,PENNANTPARK FLOATING RATE CAPITAL LTD.,PFLT,NYSE,verified_listed_equity,verified,https://www.sec.gov/Archives/edgar/data/1504619/000119312525293672/pflt-20250930.htm,0001193125-25-293672,Official 10-K cover evidence links common stock ticker PFLT to NYSE.,1453c3efbd7728c42a239395b9b111ba61dc258aa066e567c238cae6873ade41
1534254,CICB,CION INVESTMENT CORP,CION,NYSE,verified_listed_equity,verified,https://www.sec.gov/Archives/edgar/data/1534254/000153425426000003/cion-20251231.htm,0001534254-26-000003,Official 10-K cover evidence links common stock ticker CION to NYSE.,7de2e865b823cce6bff522267bafdc0cde87bbf72700619496f5368dbfe6fabc
1535778,MSIF,"MSC INCOME FUND, INC.",,,not_verified_as_listed_equity,unverified_or_nonlisted,https://www.sec.gov/Archives/edgar/data/1535778/000153577826000026/msif-20251231.htm,0001535778-26-000026,No reproducible official 10-K cover match established a listed common-equity ticker.,
1551901,SCM,STELLUS CAPITAL INVESTMENT CORP,SCM,NYSE,verified_listed_equity,verified,https://www.sec.gov/Archives/edgar/data/1551901/000110465926026432/scm-20251231x10k.htm,0001104659-26-026432,Official 10-K cover evidence links common stock ticker SCM to NYSE.,03990134130b5f5562e9fb65f7f09bf97fc1cd06349ea0fba2aa0a70edab9389
