cik,fund_id,filer_name,canonical_manager,legal_adviser,verification_status,evidence_source,evidence_accession,evidence_statement,evidence_excerpt_sha256,confidence
17313,CSWC,CAPITAL SOUTHWEST CORP,Capital Southwest,internally managed,verified,https://www.sec.gov/Archives/edgar/data/17313/000001731326000035/cswc-20260331.htm,0000017313-26-000035,Official 10-K contains the adviser evidence token 'internally managed'.,2c976664ef05f9493851b2628d39e9abef56907108ee90a4b183d121cca07bd6,high
1143513,GLAD,GLADSTONE CAPITAL CORP,Gladstone Management,Gladstone Management Corporation,verified,https://www.sec.gov/Archives/edgar/data/1143513/000114351325000015/glad-20250930.htm,0001143513-25-000015,Official 10-K contains the adviser evidence token 'gladstone management corporation'.,7a5968a447cce9b17d2f89fbd60e870018a30a92419e2199f885cf5c40e82715,high
1321741,GAIN,GLADSTONE INVESTMENT CORPORATIONDE,Gladstone Management,Gladstone Management Corporation,verified,https://www.sec.gov/Archives/edgar/data/1321741/000132174126000011/gain-20260331.htm,0001321741-26-000011,Official 10-K contains the adviser evidence token 'gladstone management corporation'.,7a5968a447cce9b17d2f89fbd60e870018a30a92419e2199f885cf5c40e82715,high
1370755,TCPC,BLACKROCK TCP CAPITAL CORP.,BlackRock,"BlackRock Capital Investment Advisors, LLC",verified,https://www.sec.gov/Archives/edgar/data/1370755/000119312526079299/tcpc-20251231.htm,0001193125-26-079299,Official 10-K contains the adviser evidence token 'blackrock capital investment advisors'.,a699d34470252b91d848ceb6d11f9ce52a0adfe8821ca4cf02f121a34e5c42a9,high
1383414,PNNT,PENNANTPARK INVESTMENT CORP,PennantPark,"PennantPark Investment Advisers, LLC",verified,https://www.sec.gov/Archives/edgar/data/1383414/000119312525293703/pnnt-20250930.htm,0001193125-25-293703,Official 10-K contains the adviser evidence token 'pennantpark investment advisers'.,b86f79c56a3492fcc794f4cb6953d36e6cf7f77a02db789bcd7486d168f9f3c3,high
1487918,OFS,OFS CAPITAL CORP,OFS Capital Management,"OFS Capital Management, LLC",verified,https://www.sec.gov/Archives/edgar/data/1487918/000148791826000021/ofs-20251231.htm,0001487918-26-000021,Official 10-K contains the adviser evidence token 'ofs capital management'.,06f762e7e3590df8341339e9ef01e4230d2cad6da38b1d9320814d5fa6313b0e,high
1504619,PFLA,PENNANTPARK FLOATING RATE CAPITAL LTD.,PennantPark,"PennantPark Investment Advisers, LLC",verified,https://www.sec.gov/Archives/edgar/data/1504619/000119312525293672/pflt-20250930.htm,0001193125-25-293672,Official 10-K contains the adviser evidence token 'pennantpark investment advisers'.,b787b8babe6a8fda5f2c28dda16713bd741bbfc0966c1ab0b57e55dafa141ead,high
1534254,CICB,CION INVESTMENT CORP,CION Investment Management,"CION Investment Management, LLC",verified,https://www.sec.gov/Archives/edgar/data/1534254/000153425426000003/cion-20251231.htm,0001534254-26-000003,Official 10-K contains the adviser evidence token 'cion investment management'.,5992645ecfdeca9c59b522b7e6ff05fe32f63f40f76d53ca9ab2f7cf60f9bddd,high
1535778,MSIF,"MSC INCOME FUND, INC.",Main Street Capital,"MSC Adviser I, LLC",verified,https://www.sec.gov/Archives/edgar/data/1535778/000153577826000026/msif-20251231.htm,0001535778-26-000026,Official 10-K contains the adviser evidence token 'msc adviser i'.,0afe1ad21bb927878cf865de3d99344384f7381229235b4061b9b5076c8044af,high
1551901,SCM,STELLUS CAPITAL INVESTMENT CORP,Stellus Capital Management,"Stellus Capital Management, LLC",verified,https://www.sec.gov/Archives/edgar/data/1551901/000110465926026432/scm-20251231x10k.htm,0001104659-26-026432,Official 10-K contains the adviser evidence token 'stellus capital management'.,a77480ca28da09eeaf0e9674fbbce118c384a71210921dea0eb94ee2b87e59ea,high
1552198,WHF,"WHITEHORSE FINANCE, INC.",H.I.G. WhiteHorse,"H.I.G. WhiteHorse Advisers, LLC",verified,https://www.sec.gov/Archives/edgar/data/1552198/000110465926024735/whf-20251231x10k.htm,0001104659-26-024735,Official 10-K contains the adviser evidence token 'whitehorse advisers'.,6e5ce3630c1891950a2ac3b3de968fffb4d7f5057647892fdfdd7ef6d64f06d6,high
1655887,CIK1655887,BLUE OWL CAPITAL CORP II,Blue Owl Credit,Blue Owl Credit Advisors LLC,verified,https://www.sec.gov/Archives/edgar/data/1655887/000165588726000010/obdc-20251231.htm,0001655887-26-000010,Official 10-K contains the adviser evidence token 'blue owl credit advisors'.,e348bcd72285bd0fdb08e79c2d116e4feb01c1b7610ac590b6576d64d4967618,high
1661306,CIK1661306,"HANCOCK PARK CORPORATE INCOME, INC.",OFS Capital Management,"OFS Capital Management, LLC",verified,https://www.sec.gov/Archives/edgar/data/1661306/000166130626000023/hpci-20251231.htm,0001661306-26-000023,Official 10-K contains the adviser evidence token 'ofs capital management'.,fc6d55191957fc5a3288450d2d55095af65a9db4c086a0066b5e6f9a106371f0,high
1715933,CIK1715933,TCW DIRECT LENDING VII LLC,TCW,TCW Asset Management Company LLC,verified,https://www.sec.gov/Archives/edgar/data/1715933/000119312526141887/ck0001715933-20251231.htm,0001193125-26-141887,Official 10-K contains the adviser evidence token 'tcw asset management'.,4befa8bbc51fd0eee6f92c89f834b0ee18217a8cbc011bef5caf821a2f021f95,high
1737924,NCDL,NUVEEN CHURCHILL DIRECT LENDING CORP.,Nuveen Churchill,Churchill DLC Advisor LLC,verified,https://www.sec.gov/Archives/edgar/data/1737924/000173792426000014/ncdlc-20251231.htm,0001737924-26-000014,Official 10-K contains the adviser evidence token 'churchill dlc advisor'.,56c10c75c8309ec43c698d35e23ae81d66d4e9604be24bbfe115a66d5c90d41d,high
1747777,OTF,BLUE OWL TECHNOLOGY FINANCE CORP.,Blue Owl Credit,Blue Owl Technology Credit Advisors II LLC,verified,https://www.sec.gov/Archives/edgar/data/1747777/000174777726000012/ortf-20251231.htm,0001747777-26-000012,Official 10-K contains the adviser evidence token 'blue owl technology credit advisors'.,8eff3315857f27525adc1e1d042dfd3d136fea818b0fbf2a8f7966c712c167d5,high
