report_period_end,report_period_label,ticker,cik,form,accession,acceptance_timestamp_utc,event_type,verification_status,evidence_source,verification_evidence,days_after_period_end
2024-03-31,2024Q1,CSWC,17313,8-K,0000017313-24-000015,2024-05-14T20:06:40.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/17313/000001731324000015/q42024earningsrelease.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-03-31 found in exhibit,44
2024-03-31,2024Q1,GAIN,1321741,8-K,0001321741-24-000010,2024-05-08T20:21:55.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1321741/000132174124000010/gain3312024er8-kex991x5824.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-03-31 found in exhibit,38
2024-03-31,2024Q1,BBDC,1379785,8-K,0001379785-24-000042,2024-05-07T20:15:30.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1379785/000137978524000042/exhibit99120240507earnings.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-03-31 found in exhibit,37
2024-03-31,2024Q1,CICB,1534254,8-K,0001104659-24-059142,2024-05-09T12:30:25.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1534254/000110465924059142/tm2413780d1_ex99-1.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-03-31 found in exhibit,39
2024-03-31,2024Q1,MSIF,1535778,,,,,excluded_not_verified_listed_equity,,Target equity listing was not verified.,
2024-03-31,2024Q1,OBDC,1655888,8-K,0001193125-24-134250,2024-05-08T20:26:03.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1655888/000119312524134250/d834947dex991.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-03-31 found in exhibit,38
2024-03-31,2024Q1,OTF,1747777,10-Q,0001747777-24-000009,2024-05-10T21:15:00.000Z,10-Q,verified,https://www.sec.gov/Archives/edgar/data/1747777/000174777724000009/ortfc-20240331.htm,10-Q reportDate exactly equals 2024-03-31,40
2024-06-30,2024Q2,GLAD,1143513,8-K,0001193125-24-195894,2024-08-07T20:15:56.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1143513/000119312524195894/d875885dex991.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-06-30 found in exhibit,38
2024-06-30,2024Q2,BBDC,1379785,8-K,0001379785-24-000054,2024-08-07T20:15:15.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1379785/000137978524000054/exhibit99120240807earnings.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-06-30 found in exhibit,38
2024-06-30,2024Q2,CICB,1534254,8-K,0001104659-24-087038,2024-08-08T12:30:21.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1534254/000110465924087038/tm2421021d1_ex99-1.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-06-30 found in exhibit,39
2024-06-30,2024Q2,MSIF,1535778,,,,,excluded_not_verified_listed_equity,,Target equity listing was not verified.,
2024-06-30,2024Q2,WHF,1552198,8-K,0001558370-24-011469,2024-08-08T11:33:30.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1552198/000155837024011469/whf-20240808xex99d1.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-06-30 found in exhibit,39
2024-06-30,2024Q2,OBDC,1655888,8-K,0001193125-24-195906,2024-08-07T20:16:31.000Z,8-K_EX-99_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1655888/000119312524195906/d857906dex991.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-06-30 found in exhibit,38
