candidate_observation_id,source_event_cluster_id,source_event_key_sha256,period_end,report_period_label,period_classification,normalized_borrower,source_fund_id,source_cik,source_is_new_fund,target_fund_id,target_cik,target_is_new_fund,relationship_scope,source_manager_family,target_manager_family,manager_relationship,manager_mapping_basis,source_facility_id,source_prior_facility_id,target_prior_facility_id,source_mark_public_timestamp_utc,target_cutoff_timestamp_utc,target_cutoff_basis,reporting_window_days,exact_borrower_block_size,strict_unique_facility_match,requires_human_facility_review,strict_new_borrower_universe,new_fund_universe,overlap_day4_borrower,overlap_day4_source_event_id,overlap_development_borrower,duplicate_vote_identity
D5R_00546209e5523aad60e5a7d3,D5C_7ddca00ba0c59e4188d3cae9,7ddca00ba0c59e4188d3cae9b39f45f90a03b9e8007c712431b88bdfbf3a1da9,2024-06-30,2024Q2,primary_untouched_historical_window,neptune dba nextech,OCIC,1812554,False,OTF,1747777,True,existing_source_new_target,Blue Owl Credit,Blue Owl Credit,same_manager,official_day3_manager_map|official_day3_manager_map,EF_e20b27a44e2d30dd5872fbc4670c,EF_60de60a9cf720fe7c5f48cae1b49,EF_07a032d9d272d86effdd6b59d607,2024-08-08T16:14:00Z,2024-08-09T20:08:58.000Z,verified_earliest_results_day3,1.163171,2,True,True,False,False,False,False,False,2024-06-30|neptune dba nextech|1812554|1747777|EF_e20b27a44e2d30dd5872fbc4670c|EF_60de60a9cf720fe7c5f48cae1b49|EF_07a032d9d272d86effdd6b59d607
D5R_005bce3c7a1238d102dc1e7e,D5C_529e6e5d6d256c19595e08f7,529e6e5d6d256c19595e08f77447ebf38cd2eb31c45462d151680fc2e48ae3ea,2024-06-30,2024Q2,primary_untouched_historical_window,finastra usa,CIK1889668,1889668,True,OTF,1747777,True,new_source_new_target,Blue Owl Credit,Blue Owl Credit,same_manager,official_day3_manager_map|official_day3_manager_map,EF_f6ee2178238a3d2d5042d6d0a69e,EF_968935af6e593a02f88ebb10e4df,EF_dca1861891ff537c061da5b122c4,2024-08-08T16:24:00Z,2024-08-09T20:08:58.000Z,verified_earliest_results_day3,1.156227,2,True,True,False,False,False,False,False,2024-06-30|finastra usa|1889668|1747777|EF_f6ee2178238a3d2d5042d6d0a69e|EF_968935af6e593a02f88ebb10e4df|EF_dca1861891ff537c061da5b122c4
D5R_006e9f6df382ff38538e5780,D5C_f6d5f16cf1818f7b621db50b,f6d5f16cf1818f7b621db50be6bfc88147486020c25b1c1ca06e50d2b9424619,2026-03-31,2026Q1,primary_untouched_historical_window,premium franchise brands,CIK1859919,1859919,True,BBDC,1379785,False,new_source_existing_target,Barings,Barings,same_manager,official_day3_manager_map|official_day3_manager_map,EF_19e993073d7eb2fdedfc82a6b8bc,EF_6c57e26598e7573866e3c25ca625,EF_1a4f77c3c381caae49dcc4a0eac3,2026-05-07T16:21:00Z,2026-05-07T20:17:14.000Z,verified_earliest_results_day3,0.164051,1,True,True,False,False,False,False,False,2026-03-31|premium franchise brands|1859919|1379785|EF_19e993073d7eb2fdedfc82a6b8bc|EF_6c57e26598e7573866e3c25ca625|EF_1a4f77c3c381caae49dcc4a0eac3
D5R_00855e54fbd84a3ad6848a07,D5C_0369dd92ee1a982a3b6d2216,0369dd92ee1a982a3b6d2216a4f3e93e7cae8259802f5fda04b6f9f31da76bc4,2024-06-30,2024Q2,primary_untouched_historical_window,perimeter master business trust credit card abs structured a,CIK1811972,1811972,True,BBDC,1379785,False,new_source_existing_target,Barings,Barings,same_manager,official_day3_manager_map|official_day3_manager_map,EF_185f27f6dba26865d31ebb68e0e8,EF_d6668d6ebf99aeceac11a4893df7,EF_57d50a411373db837b5256f0689b,2024-08-07T16:18:00Z,2024-08-07T20:15:15.000Z,verified_earliest_results_day3,0.164757,1,True,True,False,False,False,False,False,2024-06-30|perimeter master business trust credit card abs structured a|1811972|1379785|EF_185f27f6dba26865d31ebb68e0e8|EF_d6668d6ebf99aeceac11a4893df7|EF_57d50a411373db837b5256f0689b
D5R_00bb4d024bbceb6065c87d72,D5C_c5ac52001a14ea5980db4088,c5ac52001a14ea5980db408893c567028e8e26bb8c106a067c6f77aab4392350,2026-03-31,2026Q1,primary_untouched_historical_window,rapid buyer,CIK1859919,1859919,True,BBDC,1379785,False,new_source_existing_target,Barings,Barings,same_manager,official_day3_manager_map|official_day3_manager_map,EF_29c4e49d65e8a4486a95f359c023,EF_672f84c882c84d5b6fe247c99854,EF_68695a5eed17aae6d35c76cf9d2d,2026-05-07T16:21:00Z,2026-05-07T20:17:14.000Z,verified_earliest_results_day3,0.164051,2,True,True,False,False,False,False,False,2026-03-31|rapid buyer|1859919|1379785|EF_29c4e49d65e8a4486a95f359c023|EF_672f84c882c84d5b6fe247c99854|EF_68695a5eed17aae6d35c76cf9d2d
D5R_00bb9043ef597cca79b826b6,D5C_593e145a6b48233d1faf88ce,593e145a6b48233d1faf88ce8f21ccf99e395b64263469872aeead3bc4a5c05c,2025-03-31,2025Q1,primary_untouched_historical_window,canadian orthodontic partners super,CIK1859919,1859919,True,BBDC,1379785,False,new_source_existing_target,Barings,Barings,same_manager,official_day3_manager_map|official_day3_manager_map,EF_3b1e88eeae0edd1f188cbee10e2c,EF_97ddf8c40f927253e3ee4fed1a00,EF_1a6e97c3d7d4412ca3d4c6dab01a,2025-05-08T16:18:00Z,2025-05-08T20:15:23.000Z,verified_earliest_results_day3,0.16485,1,True,True,False,False,False,False,False,2025-03-31|canadian orthodontic partners super|1859919|1379785|EF_3b1e88eeae0edd1f188cbee10e2c|EF_97ddf8c40f927253e3ee4fed1a00|EF_1a6e97c3d7d4412ca3d4c6dab01a
D5R_00cf73869ad2630506833a94,D5C_7dc5bacba0f674e0256d41f3,7dc5bacba0f674e0256d41f3a44a1609f4499a99293f920498040124059ae7d0,2024-06-30,2024Q2,primary_untouched_historical_window,pluralsight,CIK1807427,1807427,True,OTF,1747777,True,new_source_new_target,Blue Owl Credit,Blue Owl Credit,same_manager,official_day3_manager_map|official_day3_manager_map,EF_69bb1c01f26ee64a54dbfabec5f9,EF_345c50ec48fabdf2a538490d8560,EF_c6e8e56c33d227ffbec10c90c246,2024-08-07T16:28:00Z,2024-08-09T20:08:58.000Z,verified_earliest_results_day3,2.153449,2,True,True,False,False,True,False,False,2024-06-30|pluralsight|1807427|1747777|EF_69bb1c01f26ee64a54dbfabec5f9|EF_345c50ec48fabdf2a538490d8560|EF_c6e8e56c33d227ffbec10c90c246
D5R_00d34f0497c03f99959e6290,D5C_321fdcaadcbaf8eeaf88b285,321fdcaadcbaf8eeaf88b285afa07167733b2439c702236600d58e836d02d5d9,2024-03-31,2024Q1,primary_untouched_historical_window,novotech aus bidco pty healthcare,CIK1811972,1811972,True,BBDC,1379785,False,new_source_existing_target,Barings,Barings,same_manager,official_day3_manager_map|official_day3_manager_map,EF_d13744a53b3f0c939dc439f6a73e,EF_ca5a8f30d98bf55263f1f03d5849,EF_c6c713b3648427c70ed798618ed7,2024-05-07T16:19:00Z,2024-05-07T20:15:30.000Z,verified_earliest_results_day3,0.164236,1,True,True,False,False,False,False,False,2024-03-31|novotech aus bidco pty healthcare|1811972|1379785|EF_d13744a53b3f0c939dc439f6a73e|EF_ca5a8f30d98bf55263f1f03d5849|EF_c6c713b3648427c70ed798618ed7
D5R_00dfb29ea704022e3b2a3b93,D5C_482308cc510ea4248bc65725,482308cc510ea4248bc657258739d365402c7eca26f9d28013f17851da11da6e,2025-03-31,2025Q1,primary_untouched_historical_window,perimeter master business trust structured a,CIK1811972,1811972,True,BBDC,1379785,False,new_source_existing_target,Barings,Barings,same_manager,official_day3_manager_map|official_day3_manager_map,EF_05a47a2ad1a4077d45be3544e984,EF_b91d23c9c02c96ece0f643fe5daa,EF_6bba76b9fffc5444b6dd60e44dd9,2025-05-08T16:19:00Z,2025-05-08T20:15:23.000Z,verified_earliest_results_day3,0.164155,1,True,True,False,False,False,False,False,2025-03-31|perimeter master business trust structured a|1811972|1379785|EF_05a47a2ad1a4077d45be3544e984|EF_b91d23c9c02c96ece0f643fe5daa|EF_6bba76b9fffc5444b6dd60e44dd9
D5R_00e65280dd28fb9a8faa7dee,D5C_3e79e3854cf7a7ad335c034a,3e79e3854cf7a7ad335c034a12a878e8d848455eaa7888c1165c730b35acee63,2024-09-30,2024Q3,primary_untouched_historical_window,solo buyer technology,CIK1859919,1859919,True,BBDC,1379785,False,new_source_existing_target,Barings,Barings,same_manager,official_day3_manager_map|official_day3_manager_map,EF_455bfd0ff95701f21876a0843fad,EF_b555829209b702968a84b65244cc,EF_3c97ef5fff0a051a3c78073a8549,2024-11-06T16:18:00Z,2024-11-06T21:15:35.000Z,verified_earliest_results_day3,0.206655,2,True,True,False,False,False,False,False,2024-09-30|solo buyer technology|1859919|1379785|EF_455bfd0ff95701f21876a0843fad|EF_b555829209b702968a84b65244cc|EF_3c97ef5fff0a051a3c78073a8549
D5R_011be5a9c413131480361526,D5C_03b520a5f24450eed8b40fb2,03b520a5f24450eed8b40fb2ef2e9166786f8528a2f416d63f5e64d98be097dd,2026-03-31,2026Q1,primary_untouched_historical_window,gmes,CIK1859919,1859919,True,BBDC,1379785,False,new_source_existing_target,Barings,Barings,same_manager,official_day3_manager_map|official_day3_manager_map,EF_b2c497f35b9f1577f2eb7b7ce3d3,EF_5738869b42cc8106278d40a9e365,EF_9197a96822ae7ff3fe5fc3c8db41,2026-05-07T16:21:00Z,2026-05-07T20:17:14.000Z,verified_earliest_results_day3,0.164051,2,True,True,False,False,False,False,False,2026-03-31|gmes|1859919|1379785|EF_b2c497f35b9f1577f2eb7b7ce3d3|EF_5738869b42cc8106278d40a9e365|EF_9197a96822ae7ff3fe5fc3c8db41
D5R_012d71e376168fc9a29ad4f2,D5C_68dfd4cc9eced0017a7732a0,68dfd4cc9eced0017a7732a02e8c2e552402b90d6d58041384808dcb460736c8,2024-03-31,2024Q1,primary_untouched_historical_window,isolstar nv ipcom trading companies and distributors,CIK1859919,1859919,True,BBDC,1379785,False,new_source_existing_target,Barings,Barings,same_manager,official_day3_manager_map|official_day3_manager_map,EF_0af1bb866b3981917e7c4a955a78,EF_e3b85c70ad831ea15fa685245370,EF_52485f8852311653b0f921ada6bf,2024-05-07T16:19:00Z,2024-05-07T20:15:30.000Z,verified_earliest_results_day3,0.164236,1,True,True,False,False,False,False,False,2024-03-31|isolstar nv ipcom trading companies and distributors|1859919|1379785|EF_0af1bb866b3981917e7c4a955a78|EF_e3b85c70ad831ea15fa685245370|EF_52485f8852311653b0f921ada6bf
